Frequency (Hz)	Level (dB)
0.672913	-68.871262
1.345825	-69.895454
2.018738	-71.760094
2.691650	-71.845161
3.364563	-73.271194
4.037476	-73.451981
4.710388	-73.163109
5.383301	-72.800323
6.056213	-71.809410
6.729126	-70.433548
7.402039	-70.329239
8.074951	-69.917473
8.747864	-68.655121
9.420776	-65.664879
10.093689	-66.428696
10.766602	-63.932858
11.439514	-65.101143
12.112427	-66.988327
12.785339	-64.990349
13.458252	-66.049591
14.131165	-66.545639
14.804077	-67.568665
15.476990	-66.888321
16.149902	-67.189079
16.822815	-66.005211
17.495728	-64.728630
18.168640	-64.790062
18.841553	-62.981419
19.514465	-60.869183
20.187378	-59.528923
20.860291	-58.734432
21.533203	-57.435772
22.206116	-54.702785
22.879028	-56.541409
23.551941	-58.453323
24.224854	-58.806759
24.897766	-58.132992
25.570679	-59.920216
26.243591	-61.259834
26.916504	-61.546139
27.589417	-61.152916
28.262329	-63.623287
28.935242	-64.102684
29.608154	-64.594368
30.281067	-65.812439
30.953979	-63.194084
31.626892	-63.430401
32.299805	-62.421562
32.972717	-63.922554
33.645630	-63.479988
34.318542	-64.064049
34.991455	-66.918915
35.664368	-64.605438
36.337280	-63.340107
37.010193	-64.151443
37.683105	-64.643784
38.356018	-64.553108
39.028931	-64.481743
39.701843	-63.134743
40.374756	-61.809174
41.047668	-61.597321
41.720581	-58.463966
42.393494	-57.518448
43.066406	-55.784912
43.739319	-56.604195
44.412231	-56.435307
45.085144	-58.280811
45.758057	-58.864120
46.430969	-57.030991
47.103882	-56.575836
47.776794	-57.801506
48.449707	-58.394150
49.122620	-59.279240
49.795532	-61.099312
50.468445	-61.977093
51.141357	-61.412727
51.814270	-63.617168
52.487183	-64.234863
53.160095	-63.357582
53.833008	-62.090916
54.505920	-61.776844
55.178833	-63.942196
55.851746	-64.569244
56.524658	-65.819786
57.197571	-64.764412
57.870483	-63.851215
58.543396	-64.545555
59.216309	-64.042809
59.889221	-64.479561
60.562134	-63.207882
61.235046	-65.118462
61.907959	-61.494339
62.580872	-61.703613
63.253784	-61.796089
63.926697	-60.486877
64.599609	-60.533985
65.272522	-58.249378
65.945435	-60.524891
66.618347	-58.747414
67.291260	-59.727448
67.964172	-59.929882
68.637085	-58.861320
69.309998	-62.168324
69.982910	-59.556068
70.655823	-59.014347
71.328735	-60.427128
72.001648	-61.216614
72.674561	-61.000256
73.347473	-61.436741
74.020386	-62.953133
74.693298	-62.912121
75.366211	-62.386894
76.039124	-61.793018
76.712036	-62.672585
77.384949	-63.767929
78.057861	-63.525612
78.730774	-65.480286
79.403687	-64.709984
80.076599	-64.137787
80.749512	-64.764717
81.422424	-65.957123
82.095337	-65.314026
82.768250	-63.793488
83.441162	-61.899448
84.114075	-62.593700
84.786987	-62.193974
85.459900	-61.267303
86.132812	-60.899559
86.805725	-59.407036
87.478638	-60.362488
88.151550	-61.239944
88.824463	-61.356537
89.497375	-61.448460
90.170288	-58.507938
90.843201	-59.250206
91.516113	-61.066734
92.189026	-59.850990
92.861938	-61.131798
93.534851	-61.787064
94.207764	-60.633991
94.880676	-60.872383
95.553589	-61.898148
96.226501	-62.330105
96.899414	-60.734776
