Frequency (Hz)	Level (dB)
0.672913	-71.347122
1.345825	-71.322243
2.018738	-71.254936
2.691650	-71.236526
3.364563	-71.086464
4.037476	-70.790665
4.710388	-70.800972
5.383301	-70.340721
6.056213	-69.856720
6.729126	-69.173988
7.402039	-68.534401
8.074951	-68.170898
8.747864	-66.123535
9.420776	-66.265327
10.093689	-61.976738
10.766602	-60.209442
11.439514	-56.597950
12.112427	-54.124531
12.785339	-52.966846
13.458252	-50.943363
14.131165	-50.782791
14.804077	-48.996685
15.476990	-46.399742
16.149902	-46.973103
16.822815	-48.482521
17.495728	-52.610619
18.168640	-54.626980
18.841553	-57.241352
19.514465	-56.945118
20.187378	-55.437714
20.860291	-54.516087
21.533203	-55.588665
22.206116	-56.282867
22.879028	-54.011906
23.551941	-52.612530
24.224854	-50.517696
24.897766	-50.467609
25.570679	-50.410557
26.243591	-49.312809
26.916504	-48.615425
27.589417	-48.321621
28.262329	-47.426582
28.935242	-46.767136
29.608154	-45.848434
30.281067	-42.991787
30.953979	-44.422119
31.626892	-41.940132
32.299805	-43.508381
32.972717	-42.942768
33.645630	-42.542854
34.318542	-43.385563
34.991455	-43.839653
35.664368	-43.503235
36.337280	-43.112404
37.010193	-44.140263
37.683105	-45.282581
38.356018	-44.720448
39.028931	-45.060738
39.701843	-46.051495
40.374756	-45.884872
41.047668	-47.502953
41.720581	-47.942280
42.393494	-47.725582
43.066406	-48.661327
43.739319	-50.181004
44.412231	-49.329479
45.085144	-47.787506
45.758057	-48.784363
46.430969	-48.437504
47.103882	-49.085018
47.776794	-49.999031
48.449707	-49.971767
49.122620	-48.812458
49.795532	-48.126392
50.468445	-47.875786
51.141357	-48.774887
51.814270	-47.756107
52.487183	-49.039627
53.160095	-49.137951
53.833008	-48.843029
54.505920	-47.804871
55.178833	-48.207470
55.851746	-48.783604
56.524658	-48.358837
57.197571	-47.265282
57.870483	-49.360207
58.543396	-49.323677
59.216309	-50.133652
59.889221	-49.882557
60.562134	-48.554153
61.235046	-49.070297
61.907959	-49.898987
62.580872	-48.640732
63.253784	-51.055893
63.926697	-51.320698
64.599609	-51.283936
65.272522	-50.824585
65.945435	-51.494209
66.618347	-51.339199
67.291260	-51.883068
67.964172	-52.252274
68.637085	-50.303692
69.309998	-50.789890
69.982910	-50.494514
70.655823	-50.566082
71.328735	-50.137615
72.001648	-49.491364
72.674561	-50.196041
73.347473	-50.072720
74.020386	-50.792301
74.693298	-49.778656
75.366211	-49.377186
76.039124	-50.096455
76.712036	-50.238522
77.384949	-50.064304
78.057861	-50.483135
78.730774	-52.694775
79.403687	-49.468998
80.076599	-49.319740
80.749512	-50.070728
81.422424	-50.160728
82.095337	-50.563122
82.768250	-50.913391
83.441162	-49.649990
84.114075	-51.057091
84.786987	-49.165077
85.459900	-50.517742
86.132812	-51.107018
86.805725	-49.622917
87.478638	-49.516983
88.151550	-49.754055
88.824463	-50.277412
89.497375	-50.035103
90.170288	-51.068119
90.843201	-49.151360
91.516113	-50.146580
92.189026	-50.980087
92.861938	-49.215157
93.534851	-47.763912
94.207764	-48.506641
94.880676	-48.905140
95.553589	-48.517857
96.226501	-49.204277
96.899414	-49.153870
97.572327	-49.574894
98.245239	-50.751743
98.918152	-49.936512
99.591064	-48.169640
100.263977	-50.212345
100.936890	-50.379311
101.609802	-49.523666
102.282715	-49.193176
102.955627	-49.007305
103.628540	-49.532574
104.301453	-47.734257
104.974365	-49.570957
105.647278	-48.968243
106.320190	-48.696304
106.993103	-49.306046
107.666016	-48.569130
108.338928	-49.722393
109.011841	-48.920013
109.684753	-49.070217
110.357666	-49.053108
111.030579	-48.586983
111.703491	-48.968723
112.376404	-48.710808
113.049316	-48.177139
113.722229	-50.067486
114.395142	-47.546009
115.068054	-47.366173
115.740967	-49.082516
116.413879	-49.822826
117.086792	-48.877594
117.759705	-48.419315
118.432617	-49.058289
119.105530	-49.159206
119.778442	-48.469025
120.451355	-47.965004
121.124268	-47.343418
121.797180	-47.550365
122.470093	-48.368279
123.143005	-47.188129
123.815918	-47.304844
124.488831	-48.053165
125.161743	-47.226940
125.834656	-47.818233
126.507568	-46.457417
127.180481	-47.180923
127.853394	-47.920677
128.526306	-48.671432
129.199219	-45.961842
129.872131	-47.317242
130.545044	-47.821327
131.217957	-47.176548
131.890869	-47.612694
132.563782	-48.317905
133.236694	-47.641029
133.909607	-46.945290
134.582520	-48.706100
135.255432	-49.838585
135.928345	-47.834896
136.601257	-46.686642
137.274170	-48.075249
137.947083	-47.363995
138.619995	-48.437805
139.292908	-46.481731
139.965820	-48.511993
140.638733	-49.679352
141.311646	-47.691540
141.984558	-47.352459
142.657471	-48.055534
143.330383	-47.932171
144.003296	-47.061718
144.676208	-47.199181
145.349121	-47.278130
146.022034	-48.130299
146.694946	-47.108208
147.367859	-48.408016
148.040771	-48.660595
148.713684	-47.749165
149.386597	-46.739849
150.059509	-48.460873
150.732422	-48.012936
151.405334	-47.267014
152.078247	-47.814621
152.751160	-46.052235
153.424072	-46.072105
154.096985	-46.143047
154.769897	-46.693810
155.442810	-47.411942
156.115723	-46.179600
156.788635	-47.192741
157.461548	-48.838840
158.134460	-46.682915
158.807373	-48.695721
159.480286	-45.287888
160.153198	-45.316639
160.826111	-46.564709
161.499023	-47.398277
162.171936	-46.652206
162.844849	-47.351547
163.517761	-45.882252
164.190674	-46.207695
164.863586	-47.639626
165.536499	-47.659878
166.209412	-48.713924
166.882324	-46.764301
167.555237	-47.325279
168.228149	-48.213871
168.901062	-45.923286
169.573975	-46.209900
170.246887	-46.329414
170.919800	-46.650455
171.592712	-45.774330
172.265625	-46.197968
172.938538	-45.690048
173.611450	-45.478615
174.284363	-45.897202
