Frequency (Hz)	Level (dB)
0.672913	-83.786781
1.345825	-81.274551
2.018738	-79.840500
2.691650	-77.814812
3.364563	-72.453568
4.037476	-72.031792
4.710388	-70.961021
5.383301	-67.403191
6.056213	-68.227615
6.729126	-67.303314
7.402039	-68.609917
8.074951	-66.261810
8.747864	-64.176567
9.420776	-66.109360
10.093689	-67.150772
10.766602	-67.658966
11.439514	-63.751888
12.112427	-64.479164
12.785339	-64.627457
13.458252	-64.212128
14.131165	-63.149658
14.804077	-63.394852
15.476990	-65.001717
16.149902	-64.225883
16.822815	-66.710640
17.495728	-67.393311
18.168640	-66.570976
18.841553	-68.834641
19.514465	-70.858383
20.187378	-69.320694
20.860291	-70.376076
21.533203	-70.421661
22.206116	-71.270882
22.879028	-72.725731
23.551941	-72.443886
24.224854	-71.314934
24.897766	-72.415344
25.570679	-70.999573
26.243591	-71.772026
26.916504	-71.992432
27.589417	-73.204742
28.262329	-71.168449
28.935242	-69.869072
29.608154	-69.458885
30.281067	-71.382217
30.953979	-75.161171
31.626892	-75.490768
32.299805	-72.939346
32.972717	-71.434662
33.645630	-69.655746
34.318542	-68.856186
34.991455	-68.629089
35.664368	-70.509102
36.337280	-71.470917
37.010193	-73.559280
37.683105	-77.298767
38.356018	-74.185715
39.028931	-77.742950
39.701843	-75.784248
40.374756	-78.975990
41.047668	-83.445290
41.720581	-83.721336
42.393494	-82.568214
43.066406	-81.211609
43.739319	-81.788544
44.412231	-81.807251
45.085144	-81.965446
45.758057	-82.468864
46.430969	-83.579636
47.103882	-83.817558
47.776794	-83.204994
48.449707	-82.110641
49.122620	-82.603508
49.795532	-83.629753
50.468445	-82.649452
51.141357	-83.015686
51.814270	-83.466438
52.487183	-86.777367
53.160095	-87.016586
53.833008	-88.228363
54.505920	-87.882324
55.178833	-88.849014
55.851746	-86.451263
56.524658	-85.739990
57.197571	-84.387764
57.870483	-82.433929
58.543396	-78.161110
59.216309	-62.486034
59.889221	-74.948418
60.562134	-77.344452
61.235046	-81.993935
61.907959	-81.856781
62.580872	-78.737488
63.253784	-77.470055
