Frequency (Hz)	Level (dB)
0.672913	-89.685776
1.345825	-87.973831
2.018738	-86.074821
2.691650	-78.153755
3.364563	-79.951752
4.037476	-81.479774
4.710388	-80.607002
5.383301	-75.921684
6.056213	-74.667885
6.729126	-75.764992
7.402039	-78.545860
8.074951	-74.980309
8.747864	-74.499359
9.420776	-76.798752
10.093689	-75.139717
10.766602	-69.632431
11.439514	-68.012794
12.112427	-71.951942
12.785339	-68.765930
13.458252	-66.410347
14.131165	-62.730335
14.804077	-67.742714
15.476990	-70.959541
16.149902	-71.608475
16.822815	-71.523338
17.495728	-74.110420
18.168640	-71.416626
18.841553	-74.418098
19.514465	-74.332268
20.187378	-72.682045
20.860291	-73.395950
21.533203	-72.526993
22.206116	-74.286728
22.879028	-76.858246
23.551941	-74.289879
24.224854	-73.501915
24.897766	-77.454590
25.570679	-75.491409
26.243591	-76.795662
26.916504	-77.809578
27.589417	-77.646492
28.262329	-76.439896
28.935242	-74.374367
29.608154	-72.126183
30.281067	-72.474007
30.953979	-75.734787
31.626892	-74.462914
32.299805	-70.149078
32.972717	-71.586967
33.645630	-72.441444
34.318542	-74.398956
34.991455	-73.563416
35.664368	-76.115295
36.337280	-73.941559
37.010193	-73.661469
37.683105	-78.086899
38.356018	-78.787178
39.028931	-79.913757
39.701843	-79.406685
40.374756	-81.467667
41.047668	-81.406387
41.720581	-81.452385
42.393494	-81.593628
43.066406	-84.083687
43.739319	-85.267502
44.412231	-84.919922
45.085144	-84.237411
45.758057	-85.593559
46.430969	-86.129471
47.103882	-85.956604
47.776794	-85.995605
48.449707	-85.232857
49.122620	-87.120071
49.795532	-88.489395
50.468445	-87.317543
51.141357	-86.499847
51.814270	-81.662041
52.487183	-84.266380
53.160095	-87.064201
53.833008	-86.669067
54.505920	-86.974396
55.178833	-87.242004
55.851746	-86.075119
56.524658	-85.674744
57.197571	-84.208359
57.870483	-83.080154
58.543396	-75.288170
59.216309	-60.574909
59.889221	-74.455032
60.562134	-82.091171
61.235046	-82.525200
61.907959	-84.511086
62.580872	-82.694153
63.253784	-85.976517
63.926697	-85.514618
64.599609	-84.124191
65.272522	-86.643898
65.945435	-85.154037
66.618347	-86.663948
67.291260	-86.716011
67.964172	-87.525429
68.637085	-88.684273
69.309998	-88.035522
69.982910	-87.997650
70.655823	-88.218208
71.328735	-86.281265
72.001648	-80.538864
72.674561	-80.949142
73.347473	-81.583138
74.020386	-83.524796
74.693298	-82.839287
75.366211	-84.831520
76.039124	-84.786263
76.712036	-85.258965
77.384949	-81.306503
78.057861	-85.306709
78.730774	-87.806427
79.403687	-89.726730
80.076599	-85.676529
80.749512	-88.099396
81.422424	-89.900116
82.095337	-89.494995
82.768250	-89.667603
83.441162	-89.028618
84.114075	-88.935371
84.786987	-86.055420
85.459900	-84.421150
86.132812	-85.252518
86.805725	-82.212906
87.478638	-85.062714
88.151550	-86.761971
88.824463	-86.670502
89.497375	-87.836792
90.170288	-85.510887
90.843201	-86.726532
91.516113	-85.647354
92.189026	-85.781586
92.861938	-85.504433
93.534851	-86.535934
94.207764	-87.926659
94.880676	-85.513397
95.553589	-86.964241
96.226501	-86.504921
96.899414	-85.878952
97.572327	-84.234062
98.245239	-83.199883
98.918152	-88.275566
99.591064	-86.385681
100.263977	-87.069382
100.936890	-88.144699
101.609802	-89.223724
102.282715	-89.288567
102.955627	-85.964798
103.628540	-84.484428
104.301453	-84.728973
104.974365	-83.849617
105.647278	-84.862709
106.320190	-84.900124
106.993103	-83.310036
107.666016	-81.603554
108.338928	-80.812134
109.011841	-82.637131
109.684753	-84.783287
110.357666	-84.479668
111.030579	-86.584259
111.703491	-85.000679
112.376404	-86.950302
113.049316	-85.264587
113.722229	-83.501785
114.395142	-83.755249
115.068054	-82.491692
115.740967	-83.026237
116.413879	-84.356941
117.086792	-84.171066
117.759705	-81.436790
118.432617	-80.890106
119.105530	-77.097588
119.778442	-66.303101
120.451355	-69.953209
121.124268	-79.439323
121.797180	-81.593605
122.470093	-83.700653
123.143005	-84.911125
123.815918	-85.636147
124.488831	-84.545044
125.161743	-84.470322
125.834656	-86.018585
126.507568	-86.301819
127.180481	-87.710022
127.853394	-88.178993
128.526306	-89.064880
129.199219	-90.735832
129.872131	-91.383476
130.545044	-90.519859
131.217957	-92.432571
131.890869	-90.341583
132.563782	-92.093964
133.236694	-90.418137
133.909607	-90.508522
134.582520	-90.779121
135.255432	-91.203156
135.928345	-91.947105
136.601257	-92.765640
137.274170	-91.811668
137.947083	-93.183304
138.619995	-92.759178
139.292908	-92.908905
139.965820	-93.237694
140.638733	-92.988358
141.311646	-92.681038
141.984558	-92.412010
142.657471	-93.057137
143.330383	-93.154884
144.003296	-93.432800
144.676208	-93.434540
145.349121	-92.143700
146.022034	-92.738235
146.694946	-93.863037
147.367859	-92.438126
148.040771	-94.364349
148.713684	-93.685600
149.386597	-93.009911
150.059509	-93.797966
