Frequency (Hz)	Level (dB)
0.976562	-77.273178
1.953125	-77.244514
2.929688	-77.242386
3.906250	-77.016998
4.882812	-76.909859
5.859375	-77.091652
6.835938	-77.120369
7.812500	-75.591896
8.789062	-75.908577
9.765625	-74.453621
10.742188	-73.846344
11.718750	-73.326981
12.695312	-73.060089
13.671875	-70.743698
14.648438	-68.749588
15.625000	-70.051140
16.601562	-68.886612
17.578125	-68.371277
18.554688	-67.568596
19.531250	-66.325974
20.507812	-64.934280
21.484375	-65.523186
22.460938	-63.318459
23.437500	-63.019112
24.414062	-62.620132
25.390625	-62.601830
26.367188	-61.197056
27.343750	-62.155048
28.320312	-62.257469
29.296875	-61.156307
30.273438	-60.860153
31.250000	-59.188465
32.226562	-59.967106
33.203125	-59.482983
34.179688	-60.589611
35.156250	-59.682972
36.132812	-59.458023
37.109375	-59.218002
38.085938	-59.286095
39.062500	-59.313076
40.039062	-58.339672
41.015625	-58.336399
41.992188	-58.402222
42.968750	-58.554150
43.945312	-58.623611
44.921875	-58.467484
45.898438	-58.227486
46.875000	-57.655128
47.851562	-58.438023
48.828125	-57.566265
49.804688	-57.957100
50.781250	-56.898483
51.757812	-55.940060
52.734375	-55.449200
53.710938	-55.690559
54.687500	-56.223362
55.664062	-54.819641
56.640625	-56.181690
57.617188	-55.957336
58.593750	-54.061527
59.570312	-55.254570
60.546875	-54.896366
61.523438	-54.663490
62.500000	-54.051144
63.476562	-54.957714
64.453125	-55.631809
65.429688	-55.576431
66.406250	-54.068081
67.382812	-54.340237
68.359375	-53.975090
69.335938	-52.115456
70.312500	-53.750351
71.289062	-52.662411
72.265625	-54.825710
73.242188	-53.632118
74.218750	-53.127132
75.195312	-54.218655
76.171875	-53.250629
77.148438	-54.922085
78.125000	-52.879578
79.101562	-51.850327
80.078125	-53.772278
81.054688	-53.690670
82.031250	-53.509212
83.007812	-54.597748
83.984375	-53.755089
84.960938	-52.720272
85.937500	-52.202366
86.914062	-51.453770
87.890625	-52.595032
88.867188	-53.125370
89.843750	-52.391624
90.820312	-51.452190
91.796875	-50.201588
92.773438	-51.093723
93.750000	-50.479980
94.726562	-51.498108
95.703125	-51.653450
96.679688	-52.183151
97.656250	-49.890675
98.632812	-50.959152
99.609375	-51.590225
100.585938	-52.396179
101.562500	-51.180508
102.539062	-52.091125
103.515625	-51.897102
104.492188	-50.657066
105.468750	-52.504879
106.445312	-51.143368
107.421875	-50.935265
108.398438	-50.589481
109.375000	-49.941704
110.351562	-52.241497
111.328125	-50.137901
112.304688	-49.613407
113.281250	-50.795345
114.257812	-51.221935
115.234375	-49.003288
116.210938	-48.864357
117.187500	-50.772686
118.164062	-48.460350
119.140625	-49.484863
120.117188	-48.915703
121.093750	-49.751472
122.070312	-50.458839
123.046875	-49.933983
124.023438	-50.792686
125.000000	-51.383026
125.976562	-49.995235
126.953125	-49.716057
127.929688	-50.060936
128.906250	-49.937363
129.882812	-49.122238
130.859375	-49.930004
131.835938	-49.600033
132.812500	-48.840500
133.789062	-49.974972
134.765625	-47.860432
135.742188	-50.235420
136.718750	-48.126568
137.695312	-48.937557
138.671875	-48.674446
139.648438	-48.468525
140.625000	-49.226929
141.601562	-49.084805
142.578125	-48.816189
143.554688	-48.407276
144.531250	-48.855839
145.507812	-48.007809
146.484375	-49.354420
147.460938	-49.303745
148.437500	-49.335499
149.414062	-48.941162
150.390625	-48.698814
151.367188	-48.113663
152.343750	-48.036720
153.320312	-48.097263
154.296875	-47.992790
155.273438	-48.045708
156.250000	-49.366543
157.226562	-49.436279
158.203125	-47.787598
159.179688	-47.819187
160.156250	-50.814899
161.132812	-50.425446
162.109375	-49.919994
163.085938	-49.430305
164.062500	-47.655121
165.039062	-49.772980
166.015625	-48.811501
166.992188	-49.681244
167.968750	-49.160553
168.945312	-49.392784
169.921875	-49.319679
170.898438	-48.575729
171.875000	-48.017296
172.851562	-49.076797
173.828125	-49.713131
174.804688	-48.943897
175.781250	-49.860378
176.757812	-48.249294
177.734375	-48.971489
178.710938	-48.690613
179.687500	-49.431503
180.664062	-49.171837
181.640625	-48.579067
182.617188	-49.981064
183.593750	-47.099274
184.570312	-48.571098
185.546875	-49.989338
186.523438	-50.380405
187.500000	-48.272266
188.476562	-49.740646
189.453125	-49.704891
190.429688	-47.961010
191.406250	-47.819962
192.382812	-49.383839
193.359375	-48.603893
194.335938	-47.442390
195.312500	-49.362301
196.289062	-49.123993
197.265625	-49.088158
198.242188	-49.120350
199.218750	-49.343239
200.195312	-49.616093
201.171875	-48.366150
202.148438	-49.154198
203.125000	-49.303013
204.101562	-48.286968
205.078125	-49.198563
206.054688	-49.960243
207.031250	-48.760654
208.007812	-48.554878
208.984375	-49.433514
209.960938	-48.940796
210.937500	-48.187511
211.914062	-49.115063
212.890625	-49.587456
213.867188	-48.385113
214.843750	-48.060032
215.820312	-48.214375
216.796875	-49.240341
217.773438	-49.409363
218.750000	-48.321800
219.726562	-48.647579
220.703125	-47.422703
221.679688	-49.318039
222.656250	-48.772381
223.632812	-49.521725
224.609375	-48.929459
225.585938	-49.443100
226.562500	-49.848999
227.539062	-50.351128
228.515625	-50.113270
229.492188	-49.761677
230.468750	-50.538830
231.445312	-49.989708
232.421875	-50.802547
233.398438	-49.650677
234.375000	-49.359375
235.351562	-50.413582
236.328125	-49.304142
237.304688	-50.603085
238.281250	-50.900204
239.257812	-50.443066
240.234375	-50.647152
241.210938	-51.617828
242.187500	-50.615524
243.164062	-50.574619
244.140625	-50.255356
245.117188	-49.875488
246.093750	-50.577267
247.070312	-50.119366
248.046875	-49.953407
249.023438	-50.531727
250.000000	-50.719326
250.976562	-49.541618
251.953125	-51.120899
252.929688	-50.517067
253.906250	-51.876442
254.882812	-50.560875
255.859375	-50.020988
256.835938	-50.767761
257.812500	-50.849228
258.789062	-51.568836
259.765625	-50.116169
260.742188	-50.917957
261.718750	-51.805454
262.695312	-51.054935
263.671875	-51.451874
264.648438	-50.107967
265.625000	-51.128315
266.601562	-50.326565
267.578125	-50.751202
268.554688	-51.276161
269.531250	-51.269196
270.507812	-50.828526
271.484375	-50.914642
272.460938	-50.861794
273.437500	-50.529099
274.414062	-50.618271
275.390625	-50.984341
276.367188	-51.647137
277.343750	-51.883438
278.320312	-51.648277
279.296875	-51.973392
280.273438	-52.312523
281.250000	-51.554630
282.226562	-51.556873
283.203125	-50.704643
284.179688	-51.809231
285.156250	-51.605263
286.132812	-50.604492
287.109375	-51.065815
288.085938	-51.392368
289.062500	-52.390148
290.039062	-51.658447
291.015625	-51.990307
291.992188	-51.125813
292.968750	-51.621906
293.945312	-53.236320
294.921875	-53.287899
295.898438	-52.158344
296.875000	-51.387367
297.851562	-51.631557
298.828125	-51.463718
299.804688	-52.173401
300.781250	-53.420792
301.757812	-51.614582
302.734375	-51.717518
303.710938	-51.701042
304.687500	-53.373611
305.664062	-52.393398
306.640625	-53.364426
307.617188	-52.636887
308.593750	-52.505268
309.570312	-53.163681
310.546875	-53.562416
311.523438	-52.491135
312.500000	-52.727303
313.476562	-52.909351
314.453125	-52.521439
315.429688	-52.476776
316.406250	-53.827908
