Frequency (Hz)	Level (dB)
0.976562	-71.410393
1.953125	-71.372292
2.929688	-71.337784
3.906250	-71.086800
4.882812	-70.759315
5.859375	-69.911720
6.835938	-69.365036
7.812500	-67.052025
8.789062	-65.668633
9.765625	-64.278915
10.742188	-61.388367
11.718750	-61.855267
12.695312	-60.359131
13.671875	-60.149990
14.648438	-59.128941
15.625000	-57.772541
16.601562	-57.437641
17.578125	-56.293579
18.554688	-55.417870
19.531250	-54.407394
20.507812	-54.012573
21.484375	-53.513180
22.460938	-52.456665
23.437500	-52.972252
24.414062	-51.872047
25.390625	-50.802567
26.367188	-51.712925
27.343750	-50.977898
28.320312	-50.136906
29.296875	-51.090195
30.273438	-50.252705
31.250000	-50.633514
32.226562	-49.850758
33.203125	-49.214775
34.179688	-48.921543
35.156250	-49.393696
36.132812	-48.657665
37.109375	-49.051292
38.085938	-47.654488
39.062500	-48.018272
40.039062	-45.742359
41.015625	-48.209370
41.992188	-49.017750
42.968750	-48.342205
43.945312	-47.131413
44.921875	-47.459816
45.898438	-48.030769
46.875000	-47.031605
47.851562	-46.675644
48.828125	-47.103745
49.804688	-46.385826
50.781250	-47.595337
51.757812	-47.026390
52.734375	-46.696548
53.710938	-47.366898
54.687500	-46.476608
55.664062	-47.441914
56.640625	-47.636398
57.617188	-46.244686
58.593750	-45.765633
59.570312	-48.251205
60.546875	-47.365894
61.523438	-46.656082
62.500000	-47.233860
63.476562	-46.362087
64.453125	-45.324490
65.429688	-46.348148
66.406250	-46.035873
67.382812	-46.407703
68.359375	-46.479874
69.335938	-47.658596
70.312500	-47.462765
71.289062	-47.159477
72.265625	-47.540108
73.242188	-46.966961
74.218750	-45.920219
75.195312	-46.535202
76.171875	-47.631897
77.148438	-48.481461
78.125000	-46.310627
79.101562	-47.232750
80.078125	-47.365082
81.054688	-46.772697
82.031250	-46.174393
83.007812	-45.966949
83.984375	-48.160149
84.960938	-47.298420
85.937500	-47.674522
86.914062	-46.674847
87.890625	-47.618530
88.867188	-46.860348
89.843750	-45.525360
90.820312	-46.709381
91.796875	-45.704323
92.773438	-46.255558
93.750000	-47.933636
94.726562	-47.045437
95.703125	-46.091419
96.679688	-45.656395
97.656250	-45.474579
98.632812	-46.229107
99.609375	-45.449764
100.585938	-45.757618
101.562500	-45.867893
102.539062	-46.968426
103.515625	-46.467827
104.492188	-45.576103
105.468750	-46.755905
106.445312	-47.135456
107.421875	-45.867996
108.398438	-45.901276
109.375000	-45.381283
110.351562	-45.416019
111.328125	-45.959415
112.304688	-45.840324
113.281250	-46.711964
114.257812	-46.317684
115.234375	-44.827419
116.210938	-44.853516
117.187500	-45.383797
118.164062	-46.304073
119.140625	-47.420162
120.117188	-46.817451
121.093750	-44.398949
122.070312	-45.329350
123.046875	-44.823231
124.023438	-45.919785
125.000000	-45.442112
125.976562	-45.669281
126.953125	-45.200142
127.929688	-45.911419
128.906250	-45.336449
129.882812	-45.764240
130.859375	-45.428139
131.835938	-46.738693
132.812500	-46.123180
133.789062	-46.147964
134.765625	-45.949039
135.742188	-45.188679
136.718750	-45.772835
137.695312	-45.552814
138.671875	-44.726223
139.648438	-44.805717
140.625000	-46.093216
141.601562	-43.894806
142.578125	-45.564701
143.554688	-44.902893
144.531250	-45.375301
145.507812	-45.137089
146.484375	-44.970840
147.460938	-45.320801
148.437500	-45.233200
149.414062	-44.969124
150.390625	-45.307587
151.367188	-45.582767
152.343750	-44.594589
153.320312	-44.534744
154.296875	-44.314171
155.273438	-44.130779
156.250000	-44.201099
157.226562	-44.591599
158.203125	-44.117065
159.179688	-44.397942
160.156250	-44.441380
161.132812	-44.565037
162.109375	-45.094898
163.085938	-43.955982
164.062500	-43.878433
165.039062	-44.979145
166.015625	-45.583763
166.992188	-44.281368
167.968750	-45.596184
168.945312	-43.948479
169.921875	-44.477398
170.898438	-45.247322
171.875000	-44.090542
172.851562	-45.524624
173.828125	-43.884224
174.804688	-43.531174
175.781250	-43.773285
176.757812	-43.880272
177.734375	-44.589790
178.710938	-44.021606
179.687500	-44.531986
180.664062	-43.484585
181.640625	-45.596882
182.617188	-44.627117
183.593750	-43.785713
184.570312	-43.458847
185.546875	-44.712212
186.523438	-44.099182
187.500000	-43.267097
188.476562	-43.745350
189.453125	-43.744537
190.429688	-45.096752
191.406250	-44.068558
192.382812	-43.412518
193.359375	-43.768715
194.335938	-43.572731
195.312500	-43.268742
196.289062	-43.942814
197.265625	-43.649158
198.242188	-43.555141
199.218750	-43.854488
200.195312	-42.850506
201.171875	-44.093601
202.148438	-44.039787
203.125000	-44.288246
204.101562	-42.930374
205.078125	-43.110668
206.054688	-45.506760
207.031250	-42.968288
208.007812	-43.847816
208.984375	-42.120300
209.960938	-42.792477
210.937500	-43.673923
211.914062	-43.763855
212.890625	-42.507603
213.867188	-42.163090
214.843750	-44.486275
215.820312	-44.262562
216.796875	-42.478664
217.773438	-42.567360
218.750000	-42.620811
219.726562	-42.678196
220.703125	-42.469650
221.679688	-43.241623
222.656250	-42.918461
223.632812	-42.306946
224.609375	-42.731644
225.585938	-42.638237
226.562500	-42.790768
227.539062	-43.759415
228.515625	-42.487469
229.492188	-42.745441
230.468750	-41.813633
231.445312	-43.373150
232.421875	-42.317120
233.398438	-42.666363
234.375000	-42.884441
235.351562	-43.954258
236.328125	-43.189144
237.304688	-41.358063
238.281250	-41.474487
239.257812	-41.497669
240.234375	-42.410702
241.210938	-43.184956
242.187500	-43.156258
243.164062	-42.700794
244.140625	-43.422459
245.117188	-41.762310
246.093750	-40.714268
247.070312	-42.517963
248.046875	-41.537903
249.023438	-43.107967
250.000000	-41.608646
250.976562	-41.806690
251.953125	-42.670628
252.929688	-42.118416
253.906250	-41.863728
254.882812	-40.948601
255.859375	-42.322330
256.835938	-42.006935
257.812500	-41.687511
258.789062	-41.595860
