Frequency (Hz)	Level (dB)
0.976562	-67.119164
1.953125	-66.984001
2.929688	-66.746071
3.906250	-66.045174
4.882812	-64.690224
5.859375	-63.119110
6.835938	-60.201237
7.812500	-58.604179
8.789062	-57.828606
9.765625	-54.639618
10.742188	-53.671852
11.718750	-53.059273
12.695312	-51.667912
13.671875	-49.511040
14.648438	-49.972980
15.625000	-47.838966
16.601562	-47.274044
17.578125	-46.827320
18.554688	-47.232124
19.531250	-46.616482
20.507812	-44.739140
21.484375	-45.253101
22.460938	-45.311333
23.437500	-44.434681
24.414062	-42.943825
25.390625	-42.055073
26.367188	-42.380733
27.343750	-42.164482
28.320312	-40.843349
29.296875	-42.568130
30.273438	-41.421284
31.250000	-41.132442
32.226562	-42.214611
33.203125	-40.533863
34.179688	-40.659107
35.156250	-40.608719
36.132812	-41.449200
37.109375	-41.315548
38.085938	-40.155060
39.062500	-41.137810
40.039062	-42.215214
41.015625	-40.182209
41.992188	-41.629791
42.968750	-42.099548
43.945312	-42.826488
44.921875	-41.768131
45.898438	-41.516666
46.875000	-41.761684
47.851562	-42.491230
48.828125	-43.706013
49.804688	-42.450291
50.781250	-42.636814
51.757812	-42.665886
52.734375	-42.745750
53.710938	-43.119865
54.687500	-43.379623
55.664062	-42.856598
56.640625	-43.882339
57.617188	-45.895542
58.593750	-45.405487
59.570312	-45.483738
60.546875	-45.566082
61.523438	-43.565773
62.500000	-46.448776
63.476562	-46.167454
64.453125	-46.535606
65.429688	-47.507214
66.406250	-47.138866
67.382812	-46.305298
68.359375	-46.923397
69.335938	-47.348419
70.312500	-46.381851
71.289062	-47.582397
72.265625	-48.230934
73.242188	-47.757534
74.218750	-48.218517
75.195312	-47.581348
76.171875	-49.220829
77.148438	-48.957191
78.125000	-48.355343
79.101562	-48.821167
80.078125	-48.945091
81.054688	-50.443043
82.031250	-50.271778
83.007812	-50.030613
83.984375	-50.433891
84.960938	-49.366188
85.937500	-51.185730
86.914062	-51.273129
87.890625	-51.057800
88.867188	-51.597309
89.843750	-50.889030
90.820312	-52.310345
91.796875	-52.652859
92.773438	-51.435829
93.750000	-52.904446
94.726562	-53.247410
95.703125	-52.241096
96.679688	-54.449116
97.656250	-53.583672
98.632812	-51.866592
99.609375	-53.863823
100.585938	-52.160397
101.562500	-52.725685
102.539062	-53.119785
103.515625	-54.551903
104.492188	-54.689545
105.468750	-54.683224
106.445312	-54.795189
107.421875	-54.149708
108.398438	-55.797485
109.375000	-55.204754
110.351562	-55.480282
111.328125	-54.804188
112.304688	-55.518898
113.281250	-55.417061
114.257812	-55.168957
115.234375	-56.546082
116.210938	-56.306847
117.187500	-56.752403
118.164062	-56.865955
119.140625	-56.350304
120.117188	-55.873665
121.093750	-56.220825
122.070312	-58.300762
123.046875	-57.360668
124.023438	-56.410381
125.000000	-57.073372
125.976562	-57.463539
126.953125	-56.338428
127.929688	-57.598866
128.906250	-57.187180
129.882812	-57.462616
130.859375	-56.772900
131.835938	-59.571636
132.812500	-58.745178
133.789062	-59.592804
134.765625	-58.421230
135.742188	-59.455830
136.718750	-58.103634
137.695312	-59.185108
138.671875	-58.503189
139.648438	-58.643116
140.625000	-59.091011
141.601562	-58.059330
142.578125	-59.005173
143.554688	-59.937740
144.531250	-59.195976
145.507812	-58.890289
146.484375	-58.176048
147.460938	-59.562199
148.437500	-60.212189
149.414062	-59.877556
150.390625	-59.918018
151.367188	-60.215958
152.343750	-60.215656
153.320312	-60.075062
154.296875	-60.627975
155.273438	-62.512383
156.250000	-61.222694
157.226562	-61.286579
158.203125	-60.667614
159.179688	-60.766300
160.156250	-62.150970
161.132812	-60.985786
162.109375	-60.533344
163.085938	-61.257465
164.062500	-61.150860
165.039062	-62.465019
166.015625	-62.597847
166.992188	-62.469990
167.968750	-62.197262
168.945312	-61.394371
169.921875	-63.993546
170.898438	-62.838570
171.875000	-62.452126
172.851562	-63.399254
173.828125	-63.557152
174.804688	-64.292770
175.781250	-62.992104
176.757812	-64.690765
177.734375	-63.849167
178.710938	-63.361195
179.687500	-63.301235
180.664062	-64.726082
181.640625	-64.034058
182.617188	-63.140919
183.593750	-65.214668
184.570312	-64.455498
185.546875	-65.178223
186.523438	-64.895653
187.500000	-66.179955
188.476562	-64.985832
189.453125	-65.736374
190.429688	-65.055199
191.406250	-64.703812
192.382812	-66.155968
193.359375	-66.453377
194.335938	-66.134605
195.312500	-66.407387
196.289062	-67.062035
197.265625	-66.661461
198.242188	-66.263786
199.218750	-66.541191
200.195312	-66.755859
201.171875	-68.054436
202.148438	-66.681183
203.125000	-65.981857
204.101562	-67.961845
205.078125	-66.675713
206.054688	-68.208000
207.031250	-66.903236
208.007812	-67.960396
208.984375	-66.905495
209.960938	-66.660034
210.937500	-67.928566
211.914062	-68.104668
212.890625	-66.462006
213.867188	-69.160728
214.843750	-67.679596
215.820312	-68.081490
216.796875	-67.599533
217.773438	-68.667107
218.750000	-69.984604
219.726562	-69.806786
220.703125	-69.951523
221.679688	-68.275131
222.656250	-68.669640
223.632812	-68.147919
224.609375	-69.496429
225.585938	-68.884758
226.562500	-69.186638
227.539062	-70.020889
228.515625	-70.820213
229.492188	-70.029770
230.468750	-69.290970
231.445312	-69.014595
232.421875	-68.971291
233.398438	-70.980492
234.375000	-70.108986
235.351562	-69.376366
236.328125	-69.565643
237.304688	-69.640114
238.281250	-70.937286
239.257812	-71.457840
240.234375	-69.462875
241.210938	-70.633652
242.187500	-69.801521
243.164062	-70.243362
244.140625	-70.671509
245.117188	-69.824707
246.093750	-71.214767
247.070312	-70.217239
248.046875	-70.356636
249.023438	-70.921097
250.000000	-72.506378
250.976562	-71.585892
251.953125	-71.187584
252.929688	-71.755882
253.906250	-73.541153
254.882812	-71.803032
255.859375	-71.637825
256.835938	-72.324669
257.812500	-71.868538
258.789062	-73.514763
259.765625	-72.930382
260.742188	-71.865013
261.718750	-72.072212
262.695312	-73.522743
263.671875	-72.778465
264.648438	-72.378349
265.625000	-72.637619
266.601562	-71.526039
267.578125	-73.650322
268.554688	-72.523727
269.531250	-72.591110
270.507812	-74.339821
271.484375	-72.945930
272.460938	-72.171822
273.437500	-73.372017
274.414062	-74.490761
275.390625	-73.284950
276.367188	-74.656380
277.343750	-72.367363
278.320312	-74.576660
279.296875	-73.518929
280.273438	-73.687576
281.250000	-74.527893
282.226562	-74.652008
283.203125	-73.981506
284.179688	-74.380760
285.156250	-71.946434
286.132812	-74.174393
287.109375	-74.882950
288.085938	-73.725990
289.062500	-74.531143
290.039062	-73.013062
291.015625	-74.447685
291.992188	-74.113716
292.968750	-75.420288
293.945312	-74.122726
294.921875	-74.389061
295.898438	-76.129776
296.875000	-75.221390
297.851562	-75.096947
298.828125	-74.670494
299.804688	-76.362305
300.781250	-75.146187
301.757812	-75.314491
302.734375	-74.943825
303.710938	-76.797333
304.687500	-76.488037
305.664062	-75.630684
306.640625	-75.750999
307.617188	-75.937141
308.593750	-75.804367
309.570312	-76.442947
310.546875	-76.462151
311.523438	-76.939514
312.500000	-76.851418
313.476562	-76.369614
314.453125	-76.254921
315.429688	-76.344635
316.406250	-76.157036
317.382812	-76.322502
318.359375	-77.005669
319.335938	-77.652710
320.312500	-75.716408
321.289062	-76.057602
322.265625	-78.117393
323.242188	-77.896675
324.218750	-78.746025
325.195312	-77.813721
326.171875	-77.590012
327.148438	-77.697067
328.125000	-76.385040
329.101562	-77.403008
330.078125	-76.841805
331.054688	-78.113914
332.031250	-79.247963
333.007812	-78.492775
333.984375	-78.564743
334.960938	-78.513084
335.937500	-78.675354
336.914062	-78.378860
337.890625	-78.557114
338.867188	-78.853836
339.843750	-79.683540
340.820312	-78.774178
341.796875	-79.521286
342.773438	-78.836746
343.750000	-79.385330
344.726562	-81.130600
345.703125	-80.128181
346.679688	-80.171951
347.656250	-79.599785
348.632812	-79.491646
349.609375	-79.117523
350.585938	-79.852486
351.562500	-79.151810
352.539062	-79.555595
353.515625	-80.807732
354.492188	-80.437576
355.468750	-80.691139
356.445312	-80.513237
357.421875	-81.002365
358.398438	-80.691452
359.375000	-81.359467
360.351562	-81.429970
361.328125	-81.168396
362.304688	-80.277931
363.281250	-82.441345
364.257812	-81.107315
365.234375	-79.995728
366.210938	-81.395630
367.187500	-80.241798
368.164062	-81.508209
369.140625	-82.957054
370.117188	-83.123703
371.093750	-82.686584
372.070312	-81.522736
373.046875	-82.612122
374.023438	-80.983604
375.000000	-83.188156
375.976562	-82.248772
376.953125	-82.822823
377.929688	-82.368431
378.906250	-81.779449
379.882812	-82.682457
380.859375	-82.942390
381.835938	-82.808624
382.812500	-82.156380
383.789062	-82.781120
384.765625	-82.263069
385.742188	-82.864868
386.718750	-82.436211
387.695312	-82.872887
388.671875	-83.514473
389.648438	-82.925903
390.625000	-83.019760
391.601562	-83.678978
392.578125	-83.651817
393.554688	-83.756577
394.531250	-83.276756
395.507812	-83.761612
396.484375	-83.147507
397.460938	-84.031677
398.437500	-83.386971
399.414062	-84.923615
400.390625	-84.804512
401.367188	-84.908867
402.343750	-83.596283
403.320312	-84.836830
404.296875	-84.561470
405.273438	-84.104210
406.250000	-83.465584
407.226562	-84.295609
408.203125	-85.326294
409.179688	-84.051979
410.156250	-84.665665
411.132812	-84.583611
412.109375	-84.596954
413.085938	-85.554665
414.062500	-84.180016
415.039062	-86.232552
416.015625	-84.598656
416.992188	-85.057251
417.968750	-84.712196
418.945312	-83.777718
419.921875	-84.669060
420.898438	-84.506256
421.875000	-84.653038
422.851562	-85.723343
423.828125	-84.875854
424.804688	-84.556053
425.781250	-84.786278
426.757812	-84.837784
427.734375	-85.092064
428.710938	-84.954147
429.687500	-84.785835
430.664062	-85.348099
431.640625	-84.501633
432.617188	-84.841614
433.593750	-84.141121
434.570312	-83.928810
435.546875	-83.781517
436.523438	-84.959488
437.500000	-84.763573
438.476562	-84.558495
439.453125	-84.798492
440.429688	-85.121078
441.406250	-85.527489
442.382812	-84.253860
443.359375	-83.179649
444.335938	-85.115540
445.312500	-84.065041
446.289062	-83.656677
447.265625	-84.457718
448.242188	-83.118149
449.218750	-84.714447
450.195312	-84.011101
451.171875	-83.371338
452.148438	-83.888206
453.125000	-84.129730
454.101562	-84.492470
455.078125	-84.273270
456.054688	-84.160088
457.031250	-83.947220
458.007812	-83.597519
458.984375	-84.045952
459.960938	-83.432739
460.937500	-82.639656
461.914062	-83.860397
462.890625	-84.128868
463.867188	-83.297386
464.843750	-83.763138
465.820312	-82.726936
466.796875	-83.311325
467.773438	-83.140633
468.750000	-82.270264
469.726562	-84.174698
470.703125	-82.672760
471.679688	-82.479279
472.656250	-82.375725
473.632812	-84.112640
474.609375	-83.821312
475.585938	-82.332558
476.562500	-82.795418
477.539062	-83.925148
478.515625	-82.789261
479.492188	-81.910774
480.468750	-81.231743
481.445312	-82.563736
482.421875	-83.729591
483.398438	-82.253464
484.375000	-82.901871
485.351562	-81.050064
486.328125	-82.961014
487.304688	-81.236771
488.281250	-82.235283
489.257812	-82.245209
490.234375	-80.973000
491.210938	-80.967735
492.187500	-81.148796
493.164062	-82.000305
494.140625	-81.971184
495.117188	-81.438309
496.093750	-81.737350
497.070312	-80.991264
498.046875	-81.261948
499.023438	-80.041183
500.000000	-80.084709
500.976562	-79.952538
501.953125	-80.744576
502.929688	-80.216919
503.906250	-80.488220
504.882812	-79.308365
505.859375	-80.463943
506.835938	-80.457344
507.812500	-80.604561
508.789062	-79.824326
509.765625	-81.018265
510.742188	-79.520836
511.718750	-80.078125
512.695312	-79.904335
513.671875	-80.644226
514.648438	-80.311996
515.625000	-79.932007
516.601562	-80.390076
517.578125	-80.032288
518.554688	-79.447617
519.531250	-80.294785
520.507812	-77.991859
521.484375	-78.707130
