Frequency (Hz)	Level (dB)
0.976562	-93.322716
1.953125	-93.310997
2.929688	-93.311996
3.906250	-93.351967
4.882812	-92.535873
5.859375	-92.255714
6.835938	-90.928345
7.812500	-90.732323
8.789062	-89.465355
9.765625	-89.315811
10.742188	-86.784630
11.718750	-86.727570
12.695312	-85.120049
13.671875	-83.714813
14.648438	-85.578217
15.625000	-83.698715
16.601562	-82.242905
17.578125	-82.102722
18.554688	-80.080132
19.531250	-80.145195
20.507812	-78.560371
21.484375	-77.026474
22.460938	-77.280655
23.437500	-77.298637
24.414062	-75.621788
25.390625	-75.867912
26.367188	-74.996208
27.343750	-75.151115
28.320312	-75.606682
29.296875	-73.450447
30.273438	-73.957535
31.250000	-74.224152
32.226562	-73.056755
33.203125	-71.737503
34.179688	-70.641907
35.156250	-71.286438
36.132812	-70.502594
37.109375	-70.144432
38.085938	-69.471771
39.062500	-70.487755
40.039062	-68.989708
41.015625	-69.616913
41.992188	-68.649109
42.968750	-67.863037
43.945312	-69.698524
44.921875	-69.296829
45.898438	-67.887627
46.875000	-68.436226
47.851562	-68.584251
48.828125	-67.421509
49.804688	-67.278389
50.781250	-66.957344
51.757812	-68.181870
52.734375	-67.984032
53.710938	-68.863808
54.687500	-68.345917
55.664062	-68.219215
56.640625	-67.426064
57.617188	-68.194534
58.593750	-68.507507
59.570312	-67.984367
60.546875	-69.207413
61.523438	-67.775108
62.500000	-67.698898
63.476562	-66.970520
64.453125	-67.828423
65.429688	-67.024529
66.406250	-66.637886
67.382812	-66.573753
68.359375	-66.783363
69.335938	-65.599831
70.312500	-66.981003
71.289062	-67.936623
72.265625	-67.858574
73.242188	-66.746361
74.218750	-67.031792
75.195312	-66.414505
76.171875	-67.686127
77.148438	-67.422607
78.125000	-67.886864
79.101562	-68.540207
80.078125	-67.118362
81.054688	-66.970337
82.031250	-67.825432
83.007812	-68.012032
83.984375	-67.748955
84.960938	-68.405403
85.937500	-68.383522
86.914062	-66.634392
87.890625	-66.861053
88.867188	-68.429367
89.843750	-68.040466
90.820312	-67.493103
91.796875	-67.756897
92.773438	-68.126793
93.750000	-67.559563
94.726562	-66.375137
95.703125	-67.628632
96.679688	-67.739990
97.656250	-69.132446
98.632812	-67.978966
99.609375	-67.553154
100.585938	-69.427780
101.562500	-67.146545
102.539062	-67.738670
103.515625	-69.220245
104.492188	-69.493561
105.468750	-68.229469
106.445312	-68.007271
107.421875	-67.717941
108.398438	-69.968529
109.375000	-69.412590
110.351562	-68.466217
111.328125	-68.700760
112.304688	-70.620926
113.281250	-68.846825
114.257812	-68.684364
115.234375	-70.758179
116.210938	-69.346634
117.187500	-69.445229
118.164062	-70.558762
119.140625	-70.850906
120.117188	-70.558250
121.093750	-71.463081
122.070312	-70.421013
123.046875	-70.608925
124.023438	-70.891953
125.000000	-68.925034
125.976562	-70.770828
126.953125	-71.162704
127.929688	-71.323547
128.906250	-70.630730
129.882812	-70.926300
130.859375	-70.940399
131.835938	-70.439674
132.812500	-72.634338
133.789062	-71.260841
134.765625	-71.290581
135.742188	-71.817848
136.718750	-70.881218
137.695312	-71.145462
