Frequency (Hz)	Level (dB)
0.976562	-78.422607
1.953125	-78.371284
2.929688	-78.344147
3.906250	-78.204041
4.882812	-78.297653
5.859375	-77.512039
6.835938	-77.657791
7.812500	-76.293533
8.789062	-75.995621
9.765625	-74.861656
10.742188	-74.179810
11.718750	-72.575539
12.695312	-71.874252
13.671875	-70.553017
14.648438	-70.586311
15.625000	-69.228523
16.601562	-67.950790
17.578125	-67.566154
18.554688	-67.278885
19.531250	-67.035645
20.507812	-66.585320
21.484375	-65.299622
22.460938	-64.627014
23.437500	-63.032547
24.414062	-64.325958
25.390625	-63.163204
26.367188	-62.480194
27.343750	-62.535915
28.320312	-61.058079
29.296875	-61.413589
30.273438	-60.911884
31.250000	-60.618191
32.226562	-60.518333
33.203125	-59.680721
34.179688	-59.561623
35.156250	-59.798695
36.132812	-58.874443
37.109375	-58.887196
38.085938	-58.008335
39.062500	-58.189053
40.039062	-58.297970
41.015625	-56.951473
41.992188	-56.990807
42.968750	-58.551434
43.945312	-57.303745
44.921875	-57.525055
45.898438	-57.815403
46.875000	-56.843204
47.851562	-55.881107
48.828125	-54.874588
49.804688	-56.310120
50.781250	-56.291740
51.757812	-56.000149
52.734375	-55.608650
53.710938	-55.659897
54.687500	-54.603687
55.664062	-55.728634
56.640625	-55.837265
57.617188	-54.360851
58.593750	-54.970985
59.570312	-54.733757
60.546875	-56.855637
61.523438	-55.035603
62.500000	-56.186405
63.476562	-55.163857
64.453125	-54.603077
65.429688	-55.937466
66.406250	-54.440777
67.382812	-55.448769
68.359375	-54.920261
69.335938	-53.680187
70.312500	-54.900978
71.289062	-54.233421
72.265625	-53.562698
73.242188	-53.854118
74.218750	-54.886375
75.195312	-55.000443
76.171875	-55.311089
77.148438	-54.760815
78.125000	-53.679466
79.101562	-53.744232
80.078125	-54.252972
81.054688	-53.368210
82.031250	-54.497921
83.007812	-55.218891
83.984375	-52.855309
84.960938	-54.208904
85.937500	-53.333290
86.914062	-53.008057
87.890625	-52.836777
88.867188	-54.415661
89.843750	-53.437576
90.820312	-53.332870
91.796875	-52.539417
92.773438	-52.423004
93.750000	-54.218456
94.726562	-53.630680
95.703125	-52.695122
96.679688	-52.495197
97.656250	-53.814747
98.632812	-53.869404
99.609375	-54.238541
100.585938	-52.569164
101.562500	-50.906754
102.539062	-51.391266
103.515625	-50.430080
104.492188	-52.128757
105.468750	-52.751801
106.445312	-53.200359
107.421875	-52.861134
108.398438	-52.312820
109.375000	-52.573208
110.351562	-51.866962
111.328125	-51.554790
112.304688	-52.055988
113.281250	-50.796730
114.257812	-50.430088
115.234375	-51.666107
116.210938	-51.735279
117.187500	-51.056583
118.164062	-51.692543
119.140625	-51.711170
120.117188	-52.054569
121.093750	-50.632862
122.070312	-51.032574
123.046875	-51.636757
124.023438	-50.550953
125.000000	-50.369904
125.976562	-51.014057
126.953125	-51.166496
127.929688	-51.079613
128.906250	-50.458511
129.882812	-51.276886
130.859375	-50.363121
131.835938	-49.909126
132.812500	-50.589130
133.789062	-49.987019
134.765625	-49.473801
135.742188	-51.703102
136.718750	-50.616577
137.695312	-50.405205
138.671875	-50.594753
139.648438	-50.926292
140.625000	-49.863335
141.601562	-50.192516
142.578125	-50.715721
143.554688	-49.456223
144.531250	-49.791645
145.507812	-50.649792
146.484375	-49.519875
147.460938	-50.081757
148.437500	-48.893883
149.414062	-49.845123
150.390625	-48.873421
151.367188	-50.016754
152.343750	-49.566990
153.320312	-49.518227
154.296875	-50.181374
155.273438	-49.134975
156.250000	-50.017048
157.226562	-49.236790
158.203125	-49.416504
159.179688	-49.828838
160.156250	-49.461243
161.132812	-47.901611
162.109375	-49.165371
163.085938	-49.022987
164.062500	-48.468674
165.039062	-49.697292
166.015625	-49.690315
166.992188	-48.923920
167.968750	-49.373108
168.945312	-48.850304
169.921875	-47.939625
170.898438	-49.873730
171.875000	-49.094082
172.851562	-49.686756
173.828125	-49.610767
174.804688	-48.098488
175.781250	-50.879921
176.757812	-48.240116
177.734375	-50.436375
178.710938	-48.412827
179.687500	-46.920876
180.664062	-49.125546
181.640625	-49.022694
182.617188	-48.461720
183.593750	-48.300240
184.570312	-48.108170
185.546875	-49.568058
186.523438	-49.297554
187.500000	-47.099537
188.476562	-47.839596
189.453125	-49.605766
190.429688	-48.711914
191.406250	-47.508320
192.382812	-48.017830
