Frequency (Hz)	Level (dB)
0.976562	-85.079247
1.953125	-85.045738
2.929688	-85.165955
3.906250	-84.848145
4.882812	-84.798866
5.859375	-84.637314
6.835938	-84.793060
7.812500	-84.856110
8.789062	-84.233498
9.765625	-83.888596
10.742188	-83.366089
11.718750	-84.140167
12.695312	-82.578011
13.671875	-82.397713
14.648438	-82.122253
15.625000	-81.391006
16.601562	-80.812233
17.578125	-79.627121
18.554688	-80.728165
19.531250	-80.268791
20.507812	-79.158394
21.484375	-78.763863
22.460938	-77.586487
23.437500	-77.127586
24.414062	-75.929230
25.390625	-75.445122
26.367188	-74.263794
27.343750	-74.719254
28.320312	-73.544685
29.296875	-73.666573
30.273438	-74.346779
31.250000	-73.177666
32.226562	-73.897903
33.203125	-73.191437
34.179688	-71.887032
35.156250	-72.156494
36.132812	-71.799606
37.109375	-72.543610
38.085938	-71.410286
39.062500	-69.421890
40.039062	-69.428490
41.015625	-70.846481
41.992188	-68.855675
42.968750	-68.194069
43.945312	-68.521111
44.921875	-69.223251
45.898438	-67.337234
46.875000	-67.023811
47.851562	-65.752403
48.828125	-66.519722
49.804688	-66.321754
50.781250	-67.039261
51.757812	-64.524925
52.734375	-66.158607
53.710938	-66.050446
54.687500	-65.227539
55.664062	-63.402176
56.640625	-64.574860
57.617188	-65.919502
58.593750	-64.857811
59.570312	-64.061401
60.546875	-63.810524
61.523438	-62.824905
62.500000	-64.205299
63.476562	-63.149372
64.453125	-63.529060
65.429688	-63.946117
66.406250	-63.001411
67.382812	-64.668915
68.359375	-64.363480
69.335938	-64.213684
70.312500	-62.088287
71.289062	-63.571625
72.265625	-62.806805
73.242188	-63.469193
74.218750	-62.867249
75.195312	-62.427212
76.171875	-63.589237
77.148438	-63.702152
78.125000	-62.180176
79.101562	-62.404095
80.078125	-62.941444
81.054688	-62.891071
82.031250	-61.791885
83.007812	-63.174412
83.984375	-63.024261
84.960938	-61.723499
85.937500	-61.679268
86.914062	-61.685471
87.890625	-62.121880
88.867188	-62.428368
89.843750	-62.413006
90.820312	-62.046246
91.796875	-62.427059
92.773438	-62.852623
93.750000	-62.295208
94.726562	-62.152279
95.703125	-62.155464
96.679688	-61.927204
97.656250	-62.821651
98.632812	-62.878376
99.609375	-62.029182
100.585938	-61.620514
101.562500	-62.858475
102.539062	-62.614574
103.515625	-61.565575
104.492188	-61.940765
105.468750	-62.480312
106.445312	-61.844421
107.421875	-61.614517
108.398438	-62.473232
109.375000	-61.772648
110.351562	-61.604328
111.328125	-62.262985
112.304688	-61.730633
113.281250	-61.102642
114.257812	-61.588848
115.234375	-61.345139
116.210938	-61.222363
117.187500	-62.412971
118.164062	-60.193745
119.140625	-59.536808
120.117188	-54.188793
121.093750	-55.913292
122.070312	-61.070751
123.046875	-61.803272
