Frequency (Hz)	Level (dB)
0.672913	-78.442795
1.345825	-79.528603
2.018738	-78.212532
2.691650	-76.913872
3.364563	-75.469276
4.037476	-72.005447
4.710388	-72.556717
5.383301	-72.382935
6.056213	-70.067863
6.729126	-70.370979
7.402039	-69.420952
8.074951	-67.902748
8.747864	-67.878273
9.420776	-67.826653
10.093689	-67.624313
10.766602	-67.796875
11.439514	-69.167992
12.112427	-66.950562
12.785339	-67.631554
13.458252	-65.498795
14.131165	-66.122635
14.804077	-67.013741
15.476990	-65.656723
16.149902	-66.056007
16.822815	-66.095940
17.495728	-65.386047
18.168640	-64.702484
18.841553	-66.302460
19.514465	-65.591042
20.187378	-66.089783
20.860291	-65.368362
21.533203	-64.073189
22.206116	-63.683044
22.879028	-60.704582
23.551941	-60.157860
24.224854	-63.807449
24.897766	-62.557690
25.570679	-63.773540
26.243591	-63.881737
26.916504	-64.286232
27.589417	-63.902824
28.262329	-63.657887
28.935242	-64.000778
29.608154	-62.663284
30.281067	-64.517563
30.953979	-63.768578
31.626892	-62.631313
32.299805	-63.224964
32.972717	-60.902634
33.645630	-63.569996
34.318542	-64.707024
34.991455	-64.046028
35.664368	-63.654953
36.337280	-63.667080
37.010193	-63.711777
37.683105	-63.500885
38.356018	-62.621185
39.028931	-63.069019
39.701843	-62.068722
40.374756	-63.254967
41.047668	-63.232922
41.720581	-63.318314
42.393494	-62.673950
43.066406	-62.122520
43.739319	-62.356449
44.412231	-63.788334
45.085144	-64.645966
45.758057	-62.571484
46.430969	-64.664040
47.103882	-63.253536
47.776794	-62.616817
48.449707	-62.157330
49.122620	-62.900829
49.795532	-62.966637
50.468445	-63.218918
51.141357	-63.204258
51.814270	-62.634609
52.487183	-63.254906
53.160095	-63.017944
53.833008	-64.596222
54.505920	-64.570236
55.178833	-62.963627
55.851746	-63.879028
56.524658	-63.620430
57.197571	-63.502048
57.870483	-65.001953
58.543396	-62.670254
59.216309	-61.228455
59.889221	-62.463451
60.562134	-62.246101
61.235046	-63.215439
61.907959	-62.139671
62.580872	-64.240860
63.253784	-62.574463
63.926697	-61.815636
64.599609	-62.375671
65.272522	-62.720387
65.945435	-63.334900
66.618347	-62.518005
67.291260	-62.101654
67.964172	-64.455048
68.637085	-63.183231
69.309998	-63.850159
69.982910	-65.259903
70.655823	-62.480732
71.328735	-62.215736
72.001648	-62.195198
72.674561	-64.164032
73.347473	-63.763588
74.020386	-63.933064
74.693298	-63.795231
75.366211	-63.077545
76.039124	-63.939877
76.712036	-64.009155
77.384949	-65.337952
78.057861	-64.702988
78.730774	-63.619820
79.403687	-63.876087
80.076599	-64.023247
80.749512	-62.721996
81.422424	-64.831787
82.095337	-63.399536
82.768250	-62.455101
83.441162	-63.044262
84.114075	-63.965435
84.786987	-62.141968
85.459900	-62.441113
86.132812	-62.412758
86.805725	-62.074791
87.478638	-63.585617
88.151550	-63.459293
88.824463	-61.490055
89.497375	-63.740410
90.170288	-62.761120
90.843201	-62.985878
91.516113	-62.595776
92.189026	-63.017387
92.861938	-64.386269
93.534851	-62.476948
94.207764	-61.630066
94.880676	-62.628014
95.553589	-62.494171
96.226501	-62.361607
96.899414	-64.561501
97.572327	-64.304047
98.245239	-63.528465
98.918152	-65.653900
99.591064	-63.978706
100.263977	-63.706264
100.936890	-65.239861
101.609802	-63.377613
102.282715	-63.465149
102.955627	-63.161953
103.628540	-63.369301
104.301453	-64.576195
104.974365	-64.540466
105.647278	-63.812840
106.320190	-63.311703
106.993103	-62.898228
107.666016	-62.945938
108.338928	-62.779415
109.011841	-63.699642
109.684753	-62.436710
110.357666	-62.166542
111.030579	-61.649754
111.703491	-61.870049
112.376404	-61.546486
113.049316	-60.420807
113.722229	-60.772224
114.395142	-62.050415
115.068054	-61.398281
115.740967	-63.190235
116.413879	-63.157223
117.086792	-62.441734
117.759705	-62.012344
118.432617	-62.025501
119.105530	-61.883827
119.778442	-63.379852
120.451355	-64.661469
121.124268	-64.797134
121.797180	-65.187607
122.470093	-65.281815
123.143005	-63.715092
123.815918	-65.000107
124.488831	-65.383972
125.161743	-64.100426
125.834656	-64.757378
126.507568	-64.354057
127.180481	-62.043213
127.853394	-63.871670
128.526306	-64.982513
129.199219	-63.457695
129.872131	-63.644619
130.545044	-62.241863
131.217957	-62.283512
131.890869	-61.782692
132.563782	-62.354908
133.236694	-63.104584
133.909607	-62.736942
134.582520	-62.295216
135.255432	-62.523247
135.928345	-64.046005
136.601257	-62.276924
137.274170	-60.264675
137.947083	-60.136047
138.619995	-62.916573
139.292908	-63.987450
139.965820	-63.204426
140.638733	-63.229740
141.311646	-63.749302
141.984558	-64.740692
142.657471	-65.072639
143.330383	-64.937210
144.003296	-64.530251
144.676208	-64.018585
145.349121	-63.098557
146.022034	-64.422333
146.694946	-64.940834
147.367859	-63.517822
148.040771	-62.911003
148.713684	-64.733002
149.386597	-63.465733
150.059509	-62.970821
150.732422	-66.099129
151.405334	-63.475933
152.078247	-63.573608
152.751160	-63.063438
153.424072	-62.583164
154.096985	-63.111973
154.769897	-64.565392
155.442810	-64.236420
156.115723	-61.843800
156.788635	-61.216652
157.461548	-61.090527
158.134460	-63.161926
158.807373	-62.794647
159.480286	-62.130627
160.153198	-60.856682
160.826111	-61.967869
161.499023	-61.578243
162.171936	-63.084480
162.844849	-63.647545
163.517761	-63.061646
164.190674	-66.114243
164.863586	-63.634937
165.536499	-64.723763
166.209412	-64.627907
166.882324	-63.227520
167.555237	-64.569572
168.228149	-62.910793
168.901062	-65.505699
169.573975	-65.177391
170.246887	-64.837173
170.919800	-64.855446
171.592712	-63.869862
172.265625	-62.296093
172.938538	-64.250092
173.611450	-64.755257
174.284363	-62.689049
174.957275	-62.650105
175.630188	-62.658016
176.303101	-61.952942
176.976013	-63.488068
177.648926	-63.509487
178.321838	-63.408051
178.994751	-60.829182
179.667664	-62.989262
180.340576	-61.491478
181.013489	-61.387920
181.686401	-61.012676
182.359314	-61.049198
183.032227	-61.266933
183.705139	-62.925678
184.378052	-62.635494
185.050964	-63.148827
185.723877	-62.476902
186.396790	-62.312050
187.069702	-62.640297
187.742615	-62.604904
188.415527	-62.824299
189.088440	-64.036995
189.761353	-64.872002
190.434265	-64.428734
191.107178	-64.204742
191.780090	-64.565407
192.453003	-64.692467
193.125916	-64.468719
193.798828	-64.118317
194.471741	-64.702690
195.144653	-63.765255
195.817566	-63.480759
196.490479	-64.819839
197.163391	-64.288712
197.836304	-64.008263
198.509216	-65.068367
199.182129	-62.875854
199.855042	-63.233932
200.527954	-63.277714
201.200867	-62.265144
201.873779	-62.576233
202.546692	-62.266376
203.219604	-61.598545
203.892517	-65.521942
204.565430	-63.799076
205.238342	-63.447792
205.911255	-61.924793
206.584167	-61.991383
207.257080	-61.799278
207.929993	-63.194569
208.602905	-63.748360
209.275818	-62.808205
209.948730	-63.825016
210.621643	-62.208973
211.294556	-63.666027
211.967468	-64.083397
212.640381	-63.323105
213.313293	-62.527309
213.986206	-62.966328
214.659119	-62.955223
215.332031	-64.994308
216.004944	-64.254723
216.677856	-62.565842
217.350769	-63.628109
218.023682	-62.163475
218.696594	-63.429443
219.369507	-64.199112
220.042419	-64.047287
220.715332	-62.931492
221.388245	-62.191212
222.061157	-62.271950
222.734070	-62.169769
223.406982	-61.087894
224.079895	-62.456520
224.752808	-63.124073
225.425720	-62.917149
226.098633	-62.967339
226.771545	-63.483322
227.444458	-64.757965
228.117371	-63.336143
228.790283	-62.852684
229.463196	-62.114826
230.136108	-62.919872
230.809021	-61.889431
231.481934	-62.482285
232.154846	-62.501728
232.827759	-63.089886
233.500671	-64.823669
234.173584	-62.840549
234.846497	-62.905445
235.519409	-63.298134
236.192322	-63.353207
236.865234	-63.105556
237.538147	-62.070671
238.211060	-62.574314
238.883972	-62.678326
239.556885	-63.806461
240.229797	-64.974411
240.902710	-63.364704
241.575623	-61.869961
242.248535	-63.396820
242.921448	-64.050949
243.594360	-64.134453
244.267273	-62.010483
244.940186	-64.215706
245.613098	-64.391212
246.286011	-62.027473
246.958923	-62.155014
247.631836	-63.157032
248.304749	-63.689381
248.977661	-62.999062
249.650574	-63.851070
250.323486	-63.632820
250.996399	-63.059078
251.669312	-64.238487
252.342224	-63.129528
253.015137	-63.741982
253.688049	-64.625748
254.360962	-63.311695
255.033875	-63.923592
255.706787	-64.448830
256.379700	-62.651699
257.052612	-63.785938
257.725525	-63.753231
258.398438	-64.744667
259.071350	-65.648239
259.744263	-63.890759
260.417175	-63.631664
261.090088	-64.072159
261.763000	-63.237453
262.435913	-62.512344
263.108826	-63.662128
263.781738	-63.203323
264.454651	-62.313400
265.127563	-62.957741
265.800476	-63.860142
266.473389	-62.692184
267.146301	-63.272915
267.819214	-63.583462
268.492126	-62.633213
269.165039	-63.142181
269.837952	-64.085899
270.510864	-63.080620
271.183777	-64.531761
271.856689	-64.154236
272.529602	-65.133682
273.202515	-63.592964
273.875427	-64.424911
274.548340	-63.209747
275.221252	-64.121994
275.894165	-64.826530
276.567078	-65.557320
277.239990	-64.403572
277.912903	-64.630760
278.585815	-63.922359
279.258728	-65.110329
279.931641	-64.536217
280.604553	-64.702805
281.277466	-63.769180
281.950378	-64.654610
282.623291	-65.713135
283.296204	-63.535072
283.969116	-63.884293
284.642029	-62.730667
285.314941	-63.163780
285.987854	-62.675457
286.660767	-64.363228
287.333679	-62.660191
288.006592	-65.254539
288.679504	-64.279190
289.352417	-62.940857
290.025330	-63.203327
290.698242	-63.167931
291.371155	-63.971672
292.044067	-64.056412
292.716980	-64.223442
293.389893	-64.392868
294.062805	-64.278549
294.735718	-64.327232
295.408630	-63.132778
296.081543	-63.928513
296.754456	-65.216568
297.427368	-64.784645
298.100281	-64.421211
298.773193	-66.560577
299.446106	-66.580070
300.119019	-64.745132
300.791931	-63.434566
301.464844	-64.229630
