Frequency (Hz)	Level (dB)
0.672913	-63.925755
1.345825	-62.687614
2.018738	-57.141113
2.691650	-50.301407
3.364563	-56.370659
4.037476	-58.414520
4.710388	-53.404755
5.383301	-48.156811
6.056213	-55.071285
6.729126	-57.301292
7.402039	-51.188919
8.074951	-49.358261
8.747864	-55.161900
9.420776	-56.093948
10.093689	-49.977615
10.766602	-50.064251
11.439514	-55.589249
12.112427	-55.178082
12.785339	-50.898304
13.458252	-51.303741
14.131165	-55.413567
14.804077	-54.823631
15.476990	-51.024750
16.149902	-50.541012
16.822815	-54.740795
17.495728	-54.406708
18.168640	-51.040436
18.841553	-52.118305
19.514465	-55.822102
20.187378	-54.385166
20.860291	-51.907028
21.533203	-51.660522
22.206116	-53.453804
22.879028	-54.729275
23.551941	-52.415337
24.224854	-50.177254
24.897766	-53.539913
25.570679	-55.479767
26.243591	-52.197823
26.916504	-52.546608
27.589417	-55.666992
28.262329	-53.894920
28.935242	-52.096966
29.608154	-52.233196
30.281067	-55.243084
30.953979	-55.174580
31.626892	-51.022362
32.299805	-51.249989
32.972717	-56.254158
33.645630	-55.065472
34.318542	-52.919315
34.991455	-52.744904
35.664368	-55.968994
36.337280	-55.439960
37.010193	-52.868908
37.683105	-51.656155
38.356018	-53.921192
39.028931	-56.228901
39.701843	-53.725147
40.374756	-53.232178
41.047668	-54.888088
41.720581	-52.756916
42.393494	-55.921112
43.066406	-54.752766
43.739319	-55.586319
44.412231	-54.458347
45.085144	-56.784912
45.758057	-56.597523
46.430969	-57.933784
47.103882	-55.859829
47.776794	-56.972248
48.449707	-56.935524
49.122620	-56.045784
49.795532	-55.795990
50.468445	-55.555145
51.141357	-56.414455
51.814270	-54.764130
52.487183	-53.533073
53.160095	-55.750340
53.833008	-53.323784
54.505920	-55.079044
55.178833	-56.643368
55.851746	-56.128395
56.524658	-55.611546
57.197571	-52.694275
57.870483	-55.569408
58.543396	-56.313713
59.216309	-55.285713
59.889221	-53.959793
60.562134	-56.145088
61.235046	-57.380264
61.907959	-55.123974
62.580872	-53.696476
63.253784	-55.470589
63.926697	-56.559780
64.599609	-55.347622
65.272522	-55.274994
65.945435	-56.373459
66.618347	-57.264954
67.291260	-54.595016
67.964172	-55.858822
68.637085	-56.286003
69.309998	-56.307861
69.982910	-53.372669
70.655823	-54.940224
71.328735	-56.121597
72.001648	-55.376575
72.674561	-54.379532
73.347473	-55.639896
74.020386	-55.881470
74.693298	-56.935242
75.366211	-56.316891
76.039124	-54.366371
76.712036	-55.699421
77.384949	-56.957016
78.057861	-55.994637
78.730774	-55.031937
79.403687	-56.205139
80.076599	-55.734264
80.749512	-53.990685
81.422424	-55.074463
82.095337	-55.937908
82.768250	-55.202709
83.441162	-53.506405
84.114075	-54.109322
84.786987	-55.525276
85.459900	-54.218834
86.132812	-54.619293
86.805725	-54.921680
87.478638	-56.387939
88.151550	-56.023891
88.824463	-52.451294
89.497375	-55.131599
90.170288	-55.381058
90.843201	-55.270283
91.516113	-53.581062
92.189026	-54.401073
92.861938	-55.726036
93.534851	-54.990833
94.207764	-53.427509
94.880676	-54.086838
95.553589	-54.647930
96.226501	-55.477962
96.899414	-53.455063
97.572327	-54.133495
98.245239	-54.678280
98.918152	-53.886204
99.591064	-52.357140
100.263977	-54.694805
100.936890	-55.253014
101.609802	-55.375797
102.282715	-54.660084
102.955627	-55.268742
103.628540	-56.306244
104.301453	-54.835640
104.974365	-54.165340
105.647278	-55.780518
106.320190	-55.297256
106.993103	-54.470295
107.666016	-54.467339
108.338928	-55.630611
109.011841	-54.115406
109.684753	-55.080803
110.357666	-54.075176
111.030579	-53.651779
111.703491	-53.397896
112.376404	-54.138809
113.049316	-53.525120
113.722229	-54.614658
114.395142	-53.689804
115.068054	-53.384369
115.740967	-53.747986
116.413879	-54.511269
117.086792	-53.480221
117.759705	-52.667233
118.432617	-51.378326
119.105530	-51.104977
119.778442	-50.190655
120.451355	-48.386360
121.124268	-48.863331
121.797180	-49.041996
122.470093	-48.399544
123.143005	-48.546970
123.815918	-48.673458
124.488831	-47.577599
125.161743	-46.722351
125.834656	-46.141918
126.507568	-48.036289
127.180481	-48.975876
127.853394	-46.720573
128.526306	-47.949646
129.199219	-50.008755
129.872131	-49.187679
130.545044	-48.689732
131.217957	-49.151474
131.890869	-51.252781
132.563782	-51.437809
133.236694	-50.991611
133.909607	-50.612377
134.582520	-52.419533
135.255432	-53.404819
135.928345	-51.543556
136.601257	-50.802040
137.274170	-52.331123
137.947083	-53.067448
138.619995	-54.387032
139.292908	-54.263901
139.965820	-53.647442
140.638733	-54.167683
141.311646	-54.148647
141.984558	-54.692284
142.657471	-53.616261
143.330383	-55.336140
144.003296	-55.173992
144.676208	-54.244946
145.349121	-53.659245
146.022034	-54.545967
146.694946	-54.342930
147.367859	-55.394207
148.040771	-54.485958
148.713684	-54.516445
149.386597	-55.388115
150.059509	-55.044540
150.732422	-54.441097
151.405334	-55.814831
152.078247	-55.094757
152.751160	-54.534668
153.424072	-53.358959
154.096985	-54.329014
154.769897	-54.910168
155.442810	-55.167690
156.115723	-53.443356
156.788635	-56.439373
157.461548	-54.747482
158.134460	-54.601425
158.807373	-55.700714
159.480286	-56.017113
160.153198	-56.987602
160.826111	-55.495529
161.499023	-53.904160
162.171936	-55.548290
162.844849	-54.445805
163.517761	-55.363644
164.190674	-55.771172
164.863586	-57.550625
165.536499	-56.967644
166.209412	-55.267479
166.882324	-56.178288
167.555237	-57.466011
168.228149	-56.268951
168.901062	-55.905403
169.573975	-55.685104
170.246887	-56.877995
170.919800	-58.498070
171.592712	-56.084633
172.265625	-56.545090
172.938538	-57.260334
173.611450	-57.469036
174.284363	-58.163658
174.957275	-56.143108
175.630188	-57.317848
176.303101	-59.088531
176.976013	-57.255081
177.648926	-57.102486
178.321838	-57.912960
178.994751	-57.506306
179.667664	-56.851917
180.340576	-57.184425
181.013489	-58.960766
181.686401	-58.754028
182.359314	-57.102394
183.032227	-57.851032
183.705139	-57.711632
184.378052	-57.406048
185.050964	-58.086857
185.723877	-57.852985
186.396790	-57.815548
187.069702	-55.852108
187.742615	-57.020657
188.415527	-58.381180
189.088440	-57.285210
189.761353	-56.370129
190.434265	-57.439499
191.107178	-56.805069
191.780090	-58.074112
192.453003	-56.134632
193.125916	-57.399986
193.798828	-55.861099
194.471741	-57.082428
195.144653	-56.425068
195.817566	-54.846088
196.490479	-56.300301
197.163391	-57.057377
197.836304	-57.033485
198.509216	-56.245514
199.182129	-55.974644
199.855042	-56.049366
200.527954	-55.413002
201.200867	-55.247040
201.873779	-55.107540
202.546692	-56.520821
203.219604	-57.426968
203.892517	-56.361294
204.565430	-55.435455
205.238342	-57.131367
205.911255	-56.549168
206.584167	-57.271675
207.257080	-55.182545
207.929993	-57.189129
208.602905	-56.892601
209.275818	-56.812496
209.948730	-55.417953
210.621643	-56.654106
211.294556	-56.048092
211.967468	-55.347580
212.640381	-56.536030
213.313293	-56.477123
213.986206	-56.312874
214.659119	-56.144352
215.332031	-55.881420
216.004944	-56.388908
216.677856	-56.585407
217.350769	-56.595264
218.023682	-56.442028
218.696594	-56.273415
219.369507	-55.220444
220.042419	-56.108562
220.715332	-55.924477
221.388245	-55.991611
222.061157	-56.375820
222.734070	-56.876099
223.406982	-56.907585
224.079895	-56.319397
224.752808	-55.045174
225.425720	-55.154366
226.098633	-54.921078
226.771545	-54.602505
227.444458	-54.210167
228.117371	-54.207035
228.790283	-54.140533
229.463196	-55.639977
230.136108	-55.495625
230.809021	-54.027576
231.481934	-54.109016
232.154846	-54.096336
232.827759	-54.662228
233.500671	-54.642467
234.173584	-54.591053
234.846497	-54.163147
235.519409	-54.576252
236.192322	-54.362572
236.865234	-53.398228
237.538147	-54.788193
238.211060	-54.073002
238.883972	-52.606064
239.556885	-53.446709
240.229797	-53.063416
240.902710	-52.999100
241.575623	-52.856258
242.248535	-52.443565
242.921448	-52.122906
243.594360	-52.490704
244.267273	-51.480213
244.940186	-50.794300
245.613098	-52.408264
246.286011	-51.218311
246.958923	-50.969063
247.631836	-51.017441
248.304749	-53.172115
248.977661	-51.784851
249.650574	-51.996960
250.323486	-51.921505
250.996399	-52.128262
251.669312	-51.630848
252.342224	-51.882027
253.015137	-51.928524
253.688049	-52.084713
254.360962	-52.013233
255.033875	-53.441498
255.706787	-53.284573
256.379700	-52.953140
257.052612	-53.907860
257.725525	-53.891911
258.398438	-53.266712
259.071350	-54.025356
259.744263	-54.731628
260.417175	-54.373344
261.090088	-54.460457
261.763000	-54.260841
262.435913	-54.904610
263.108826	-55.031532
263.781738	-54.750050
264.454651	-54.244846
265.127563	-54.983517
265.800476	-54.813858
266.473389	-55.871536
267.146301	-55.216579
267.819214	-53.946705
268.492126	-54.796513
269.165039	-54.544304
269.837952	-55.832985
270.510864	-56.749779
271.183777	-55.531109
271.856689	-55.858093
272.529602	-56.062832
273.202515	-55.797466
273.875427	-54.443275
274.548340	-55.074707
275.221252	-55.290150
275.894165	-56.282551
276.567078	-55.740078
277.239990	-54.785721
277.912903	-55.275860
278.585815	-56.570728
279.258728	-55.224319
279.931641	-55.453728
280.604553	-56.145775
281.277466	-56.479958
281.950378	-56.166870
282.623291	-55.670387
283.296204	-56.329239
283.969116	-57.743778
284.642029	-56.547913
285.314941	-56.487328
285.987854	-56.965767
286.660767	-57.803215
287.333679	-57.547199
288.006592	-56.419792
288.679504	-56.063313
289.352417	-56.717987
290.025330	-57.096336
290.698242	-55.529617
291.371155	-56.027893
292.044067	-58.320095
292.716980	-57.503452
293.389893	-56.628284
294.062805	-58.007523
294.735718	-57.845745
295.408630	-57.205566
296.081543	-55.767895
296.754456	-56.790409
297.427368	-57.108990
298.100281	-56.935520
298.773193	-56.150341
299.446106	-57.746063
300.119019	-55.926559
300.791931	-56.213921
301.464844	-55.772980
302.137756	-56.907997
302.810669	-55.951668
303.483582	-57.020245
304.156494	-57.779984
304.829407	-58.152340
305.502319	-57.131969
306.175232	-56.783401
306.848145	-55.753868
307.521057	-56.799671
308.193970	-57.072453
308.866882	-57.276657
309.539795	-56.744408
310.212708	-57.080551
310.885620	-57.257538
311.558533	-57.305042
312.231445	-56.635242
312.904358	-56.810425
313.577271	-57.016712
314.250183	-57.201721
314.923096	-56.132683
315.596008	-56.113377
316.268921	-56.005863
316.941833	-56.271542
317.614746	-57.351097
318.287659	-57.441376
318.960571	-58.168312
319.633484	-56.879971
320.306396	-56.282776
320.979309	-55.993763
321.652222	-56.756577
322.325134	-56.063492
322.998047	-56.038185
323.670959	-56.137718
324.343872	-57.196198
325.016785	-56.011471
325.689697	-55.625038
326.362610	-56.898815
327.035522	-56.691811
327.708435	-56.524151
328.381348	-56.285923
329.054260	-55.534679
329.727173	-55.722908
330.400085	-55.245770
331.072998	-54.917461
331.745911	-55.452824
332.418823	-55.141121
333.091736	-55.154785
333.764648	-54.748165
334.437561	-53.975208
335.110474	-55.779919
335.783386	-55.214615
336.456299	-54.616127
337.129211	-54.122936
337.802124	-54.965981
338.475037	-53.770340
339.147949	-53.133476
339.820862	-54.490414
340.493774	-55.255039
341.166687	-54.455135
341.839600	-53.882866
342.512512	-54.569157
343.185425	-55.400249
343.858337	-54.101669
344.531250	-53.839893
345.204163	-54.620571
345.877075	-54.877438
346.549988	-55.759521
347.222900	-53.601002
347.895813	-54.451897
348.568726	-53.817196
349.241638	-53.872101
349.914551	-54.759880
350.587463	-54.367348
351.260376	-53.237877
351.933289	-52.449348
352.606201	-53.318554
353.279114	-52.870575
353.952026	-51.776443
354.624939	-52.537354
355.297852	-54.089535
355.970764	-53.405582
356.643677	-53.304123
357.316589	-52.848728
357.989502	-53.116917
358.662415	-52.258926
359.335327	-51.597115
360.008240	-52.157059
360.681152	-50.976879
361.354065	-50.263599
362.026978	-51.503681
362.699890	-51.969738
363.372803	-50.795891
364.045715	-50.296833
364.718628	-51.884682
365.391541	-50.719826
366.064453	-51.196274
366.737366	-50.001148
367.410278	-50.571976
368.083191	-50.238258
368.756104	-49.831451
369.429016	-49.515522
370.101929	-49.296097
370.774841	-48.125305
371.447754	-48.501530
372.120667	-49.296543
372.793579	-50.126411
373.466492	-49.192890
374.139404	-50.097977
374.812317	-49.408112
375.485229	-49.163654
376.158142	-48.430973
376.831055	-48.807590
377.503967	-49.883881
378.176880	-49.298672
378.849792	-50.486214
379.522705	-50.634796
380.195618	-50.318893
380.868530	-50.015404
381.541443	-51.738579
382.214355	-51.817158
382.887268	-51.145039
383.560181	-52.057915
384.233093	-51.447105
384.906006	-51.761864
385.578918	-51.078888
386.251831	-51.434799
386.924744	-52.846256
387.597656	-51.480988
388.270569	-51.604858
388.943481	-52.290066
389.616394	-52.837021
390.289307	-51.569248
390.962219	-52.036568
391.635132	-52.540615
392.308044	-53.454502
392.980957	-53.183327
393.653870	-52.463329
394.326782	-53.066776
394.999695	-53.986481
395.672607	-52.839424
396.345520	-53.072052
397.018433	-53.946865
397.691345	-53.307629
398.364258	-52.519306
399.037170	-53.997913
399.710083	-54.298756
400.382996	-54.135689
401.055908	-53.243210
401.728821	-53.958874
402.401733	-53.804462
403.074646	-54.356949
403.747559	-54.616165
404.420471	-54.617699
405.093384	-54.646378
405.766296	-54.107742
406.439209	-54.038548
407.112122	-55.236103
407.785034	-55.435024
408.457947	-55.292622
409.130859	-53.695923
409.803772	-54.571735
410.476685	-54.380535
411.149597	-55.815079
411.822510	-53.102654
412.495422	-55.828655
413.168335	-56.300846
413.841248	-55.908802
414.514160	-53.903187
415.187073	-54.238773
415.859985	-55.343224
416.532898	-55.644547
417.205811	-54.775749
417.878723	-53.857056
418.551636	-55.632465
419.224548	-55.627678
419.897461	-54.709198
420.570374	-54.991066
421.243286	-55.490200
421.916199	-56.923153
422.589111	-54.150425
423.262024	-55.352478
423.934937	-55.318535
424.607849	-55.307446
425.280762	-54.311428
425.953674	-53.559750
426.626587	-55.214645
427.299500	-55.982765
427.972412	-54.471069
428.645325	-54.734161
429.318237	-55.543133
429.991150	-55.330868
430.664062	-54.257637
431.336975	-54.157009
432.009888	-56.189686
432.682800	-54.547001
433.355713	-54.069843
434.028625	-55.637650
434.701538	-55.368317
435.374451	-56.046722
436.047363	-54.251469
436.720276	-54.702442
437.393188	-55.071373
438.066101	-56.165962
438.739014	-55.028759
439.411926	-55.675842
440.084839	-54.062786
440.757751	-54.862316
441.430664	-54.247688
442.103577	-55.065449
442.776489	-53.352776
443.449402	-54.416656
444.122314	-53.810406
444.795227	-53.464542
445.468140	-52.940590
446.141052	-52.844360
446.813965	-52.495197
447.486877	-52.760139
448.159790	-52.853706
448.832703	-53.496353
449.505615	-52.482471
450.178528	-52.501110
450.851440	-51.534603
451.524353	-51.663097
452.197266	-52.509865
452.870178	-53.854427
453.543091	-52.013744
454.216003	-52.581837
454.888916	-53.244236
455.561829	-53.054356
456.234741	-51.870651
456.907654	-52.735146
457.580566	-52.626530
458.253479	-52.600895
458.926392	-52.923737
459.599304	-52.936466
460.272217	-52.932774
460.945129	-51.066170
461.618042	-52.275841
462.290955	-52.314507
462.963867	-50.685253
463.636780	-51.563019
464.309692	-51.661282
464.982605	-51.356552
465.655518	-52.117352
466.328430	-51.568623
467.001343	-51.914722
467.674255	-51.798813
468.347168	-51.977600
469.020081	-52.088787
469.692993	-51.554096
470.365906	-51.303619
471.038818	-50.657646
471.711731	-50.926441
472.384644	-49.601757
473.057556	-49.309090
473.730469	-49.134003
474.403381	-49.720123
475.076294	-49.907589
475.749207	-49.961452
476.422119	-50.106567
477.095032	-49.209141
477.767944	-48.670048
478.440857	-48.402561
479.113770	-49.019089
479.786682	-48.362080
480.459595	-48.193890
481.132507	-47.952816
481.805420	-48.227558
482.478333	-47.110027
483.151245	-46.703957
483.824158	-46.498894
484.497070	-47.320988
485.169983	-46.395416
485.842896	-46.368122
486.515808	-46.237274
487.188721	-45.805847
487.861633	-45.960651
488.534546	-44.660511
489.207458	-43.787216
489.880371	-44.636391
490.553284	-43.868347
491.226196	-42.787041
491.899109	-44.425304
492.572021	-43.103683
493.244934	-43.096062
493.917847	-42.221497
494.590759	-43.292236
495.263672	-42.353790
495.936584	-41.875515
496.609497	-43.251057
497.282410	-43.799057
497.955322	-43.036694
498.628235	-42.364380
499.301147	-43.265434
499.974060	-44.220852
500.646973	-43.068550
501.319885	-45.031849
501.992798	-44.602032
502.665710	-44.346634
503.338623	-44.292519
504.011536	-45.720425
504.684448	-45.669937
505.357361	-45.703136
506.030273	-45.363434
506.703186	-45.015079
507.376099	-46.685272
508.049011	-46.947594
508.721924	-46.761765
509.394836	-46.891766
510.067749	-47.700130
510.740662	-48.699902
511.413574	-48.489803
512.086487	-48.264431
512.759399	-48.530663
513.432312	-48.537037
514.105225	-48.275249
514.778137	-48.179592
515.451050	-48.822025
516.123962	-49.409828
516.796875	-48.366798
517.469788	-47.144756
518.142700	-49.030048
518.815613	-49.443596
519.488525	-49.189365
520.161438	-49.378342
520.834351	-49.742943
521.507263	-49.744003
522.180176	-47.997890
522.853088	-48.379337
523.526001	-50.172775
524.198914	-49.053459
524.871826	-49.149174
525.544739	-49.875198
526.217651	-50.538769
526.890564	-49.874981
527.563477	-49.272041
528.236389	-50.512550
528.909302	-51.750961
529.582214	-50.554108
530.255127	-51.106300
530.928040	-50.782650
531.600952	-51.636204
532.273865	-51.039234
532.946777	-50.236031
533.619690	-50.365051
534.292603	-50.966084
534.965515	-50.696407
535.638428	-50.957249
536.311340	-49.763454
536.984253	-51.083832
537.657166	-52.076237
538.330078	-51.241985
539.002991	-50.103725
539.675903	-51.153965
540.348816	-51.497585
541.021729	-51.792004
541.694641	-51.850895
542.367554	-52.074577
543.040466	-52.242397
543.713379	-51.615875
544.386292	-51.748039
545.059204	-52.382198
545.732117	-51.857475
546.405029	-50.436951
547.077942	-51.347637
547.750854	-52.142799
548.423767	-51.040508
549.096680	-50.381645
549.769592	-50.894588
550.442505	-52.257294
551.115417	-52.560776
551.788330	-50.715908
552.461243	-50.894005
553.134155	-51.665646
553.807068	-51.705544
554.479980	-50.871105
555.152893	-50.793388
555.825806	-50.338432
556.498718	-52.006916
557.171631	-50.271435
557.844543	-50.614643
