Frequency (Hz)	Level (dB)
0.672913	-66.716240
1.345825	-66.969765
2.018738	-64.630493
2.691650	-65.750511
3.364563	-67.681053
4.037476	-69.998642
4.710388	-69.582138
5.383301	-70.035355
6.056213	-71.098465
6.729126	-72.088684
7.402039	-70.784492
8.074951	-69.299583
8.747864	-69.829086
9.420776	-70.138481
10.093689	-70.551193
10.766602	-69.187492
11.439514	-69.408501
12.112427	-68.603790
12.785339	-69.632668
13.458252	-68.277992
14.131165	-68.081459
14.804077	-68.844872
15.476990	-68.257149
16.149902	-67.019463
16.822815	-66.500206
17.495728	-64.000641
18.168640	-62.626789
18.841553	-60.474018
19.514465	-59.273041
20.187378	-55.843315
20.860291	-55.069672
21.533203	-52.633129
22.206116	-53.388401
22.879028	-53.154221
23.551941	-54.096233
24.224854	-52.312321
24.897766	-53.605934
25.570679	-57.338352
26.243591	-57.671043
26.916504	-59.507484
27.589417	-60.862259
28.262329	-61.962246
28.935242	-62.868351
29.608154	-62.701656
30.281067	-64.219154
30.953979	-65.596916
31.626892	-64.687149
32.299805	-65.379234
32.972717	-66.210327
33.645630	-66.315872
34.318542	-67.109505
34.991455	-66.790848
35.664368	-66.023247
36.337280	-66.618759
37.010193	-65.511284
37.683105	-64.459152
38.356018	-65.675980
39.028931	-61.521595
39.701843	-59.983585
40.374756	-59.540321
41.047668	-56.494633
41.720581	-56.890488
42.393494	-55.467285
43.066406	-54.970276
43.739319	-54.933372
44.412231	-53.608391
45.085144	-55.499195
45.758057	-54.973820
46.430969	-55.900021
47.103882	-56.215607
47.776794	-58.116123
48.449707	-58.371933
49.122620	-58.869381
49.795532	-59.468807
50.468445	-60.286469
51.141357	-60.130238
51.814270	-62.009087
52.487183	-64.052071
53.160095	-62.813007
53.833008	-65.393623
54.505920	-65.048630
55.178833	-66.332138
55.851746	-66.286919
56.524658	-66.093620
57.197571	-64.752281
57.870483	-63.723267
58.543396	-65.680603
59.216309	-65.663338
59.889221	-64.014908
60.562134	-61.239578
61.235046	-61.223564
61.907959	-60.182060
62.580872	-61.189686
63.253784	-58.687851
63.926697	-59.597012
64.599609	-59.106388
65.272522	-57.831783
65.945435	-56.451763
66.618347	-57.098461
67.291260	-56.599583
67.964172	-56.728916
68.637085	-57.808231
69.309998	-60.132839
69.982910	-59.034267
70.655823	-57.442055
71.328735	-59.357430
72.001648	-59.520569
72.674561	-59.356823
73.347473	-60.427330
74.020386	-60.337826
74.693298	-61.741207
75.366211	-63.861217
76.039124	-63.343296
76.712036	-66.146759
77.384949	-63.636700
78.057861	-64.932259
78.730774	-64.515770
79.403687	-65.372475
80.076599	-64.078484
80.749512	-62.501549
81.422424	-64.377708
82.095337	-62.658081
82.768250	-61.989449
83.441162	-60.784302
84.114075	-59.996464
84.786987	-60.368362
85.459900	-59.242954
86.132812	-57.815598
86.805725	-57.289047
87.478638	-57.037971
88.151550	-57.520290
88.824463	-57.742985
89.497375	-58.787468
90.170288	-58.669662
90.843201	-59.143181
91.516113	-58.539219
92.189026	-58.781677
92.861938	-57.689529
93.534851	-58.180931
94.207764	-58.100250
94.880676	-59.800602
95.553589	-58.898464
96.226501	-59.217327
96.899414	-59.829151
97.572327	-60.977127
98.245239	-62.507069
98.918152	-63.011223
99.591064	-61.198826
100.263977	-62.659199
100.936890	-63.186012
101.609802	-62.162312
102.282715	-61.598251
102.955627	-61.581398
103.628540	-63.192158
104.301453	-63.183022
104.974365	-63.302387
105.647278	-62.278206
106.320190	-63.327427
106.993103	-59.727528
107.666016	-59.010498
108.338928	-59.235748
109.011841	-59.202728
109.684753	-59.761635
110.357666	-59.765083
111.030579	-59.391369
111.703491	-59.121605
112.376404	-59.032646
113.049316	-60.587910
113.722229	-59.545601
114.395142	-59.593685
115.068054	-59.907944
115.740967	-59.491173
116.413879	-60.470108
117.086792	-62.031944
117.759705	-60.401703
118.432617	-61.368847
119.105530	-60.930397
119.778442	-61.298798
120.451355	-60.973495
121.124268	-60.674717
121.797180	-60.367893
122.470093	-62.790760
123.143005	-62.149193
123.815918	-62.403076
124.488831	-63.669983
125.161743	-62.009365
125.834656	-62.937626
126.507568	-62.878956
127.180481	-62.450783
127.853394	-61.458767
128.526306	-62.823978
129.199219	-62.277367
129.872131	-63.163231
130.545044	-61.767895
131.217957	-61.461983
131.890869	-62.438217
132.563782	-61.841949
133.236694	-59.587296
133.909607	-58.318874
134.582520	-59.030159
135.255432	-58.826694
135.928345	-60.058369
136.601257	-60.822201
137.274170	-61.215317
137.947083	-62.934807
138.619995	-62.045467
139.292908	-62.200348
139.965820	-60.921833
140.638733	-61.196167
