Frequency (Hz)	Level (dB)
0.672913	-65.994698
1.345825	-64.863945
2.018738	-59.386406
2.691650	-52.265648
3.364563	-57.466595
4.037476	-60.780853
4.710388	-54.801197
5.383301	-50.432083
6.056213	-54.672974
6.729126	-59.716801
7.402039	-55.018208
8.074951	-48.365566
8.747864	-54.399860
9.420776	-58.679516
10.093689	-52.540966
10.766602	-47.933548
11.439514	-52.627644
12.112427	-57.234066
12.785339	-54.258060
13.458252	-48.800114
14.131165	-53.306229
14.804077	-57.949902
15.476990	-54.544724
16.149902	-50.925060
16.822815	-55.714527
17.495728	-56.408695
18.168640	-53.154140
18.841553	-50.850441
19.514465	-55.591904
20.187378	-56.362144
20.860291	-54.286320
21.533203	-52.347900
22.206116	-51.033749
22.879028	-56.236626
23.551941	-54.563511
24.224854	-52.292686
24.897766	-53.864914
25.570679	-57.127434
26.243591	-54.741470
26.916504	-50.467583
27.589417	-53.630226
28.262329	-55.453323
28.935242	-54.845104
29.608154	-51.842762
30.281067	-55.401001
30.953979	-56.711670
31.626892	-56.220505
32.299805	-50.309601
32.972717	-54.475384
33.645630	-57.844398
34.318542	-54.939327
34.991455	-52.834339
35.664368	-56.231922
36.337280	-58.385391
37.010193	-55.003124
37.683105	-50.581394
38.356018	-56.432472
39.028931	-57.736076
39.701843	-55.713245
40.374756	-54.427444
41.047668	-56.210678
41.720581	-55.858311
42.393494	-55.107018
43.066406	-52.404789
43.739319	-54.075283
44.412231	-56.859539
45.085144	-55.434437
45.758057	-55.051308
46.430969	-57.015495
47.103882	-57.207565
47.776794	-54.617447
48.449707	-55.323174
49.122620	-56.227146
49.795532	-57.504021
50.468445	-54.631790
51.141357	-54.879539
51.814270	-57.795116
52.487183	-58.268955
53.160095	-55.681355
53.833008	-56.158031
54.505920	-55.418377
55.178833	-58.945038
55.851746	-54.862854
56.524658	-56.960506
57.197571	-58.143990
57.870483	-56.490330
58.543396	-55.276852
59.216309	-57.386559
59.889221	-58.654884
60.562134	-57.910934
61.235046	-56.955456
61.907959	-56.700054
62.580872	-57.311138
63.253784	-57.329884
63.926697	-56.506863
64.599609	-56.900833
65.272522	-56.669682
65.945435	-57.446857
66.618347	-56.511909
67.291260	-57.790359
67.964172	-58.854904
68.637085	-57.902981
69.309998	-55.490932
69.982910	-55.883377
70.655823	-58.157032
71.328735	-57.285862
72.001648	-56.643036
72.674561	-51.753246
73.347473	-54.646854
74.020386	-57.057358
74.693298	-55.144146
75.366211	-53.860199
76.039124	-57.984982
76.712036	-58.839996
77.384949	-57.965431
78.057861	-55.413342
78.730774	-56.052158
79.403687	-57.572487
80.076599	-55.944115
80.749512	-53.971722
81.422424	-57.062878
82.095337	-56.231804
82.768250	-56.523331
83.441162	-54.668690
84.114075	-56.532436
84.786987	-57.080444
85.459900	-55.224339
86.132812	-54.274921
86.805725	-55.554977
87.478638	-57.445370
88.151550	-55.990582
88.824463	-54.653355
89.497375	-56.409546
90.170288	-57.242569
90.843201	-56.470306
91.516113	-54.621433
92.189026	-56.206001
92.861938	-57.427143
93.534851	-57.086708
94.207764	-54.795460
94.880676	-57.616646
95.553589	-58.756466
96.226501	-58.304935
96.899414	-56.090473
97.572327	-57.278000
98.245239	-57.564617
98.918152	-57.862869
99.591064	-56.108044
100.263977	-57.262138
100.936890	-58.934811
101.609802	-57.200138
102.282715	-57.099438
102.955627	-57.624111
103.628540	-57.642250
104.301453	-55.089432
104.974365	-55.622707
105.647278	-56.011806
106.320190	-57.094501
106.993103	-57.326363
107.666016	-56.507416
108.338928	-57.498940
109.011841	-57.163044
109.684753	-56.409077
110.357666	-56.823391
111.030579	-56.797409
111.703491	-56.652145
112.376404	-57.592213
113.049316	-56.197212
113.722229	-57.790039
114.395142	-55.959625
115.068054	-56.519058
115.740967	-55.679474
116.413879	-55.519226
117.086792	-54.898285
117.759705	-56.079498
118.432617	-55.279266
119.105530	-56.481354
119.778442	-55.320278
120.451355	-53.431271
121.124268	-52.723572
121.797180	-54.476868
122.470093	-53.408531
123.143005	-55.076706
123.815918	-53.651608
124.488831	-53.670918
125.161743	-52.835953
125.834656	-53.338562
126.507568	-53.670086
127.180481	-51.834801
127.853394	-53.753319
128.526306	-50.934093
129.199219	-50.528992
129.872131	-53.902161
130.545044	-54.839172
131.217957	-54.424232
131.890869	-53.306293
132.563782	-54.618626
133.236694	-54.561375
133.909607	-53.787163
134.582520	-53.731491
135.255432	-55.713337
135.928345	-57.162567
136.601257	-56.628304
137.274170	-56.345882
137.947083	-56.786247
138.619995	-57.298405
139.292908	-57.926273
139.965820	-55.636478
140.638733	-57.731663
141.311646	-58.032703
141.984558	-58.035118
142.657471	-58.592735
143.330383	-56.890678
144.003296	-56.975437
144.676208	-55.736423
145.349121	-57.856133
146.022034	-56.947010
146.694946	-57.288303
147.367859	-57.462399
148.040771	-57.085266
148.713684	-57.715740
149.386597	-58.200901
150.059509	-57.719784
150.732422	-59.577560
151.405334	-58.011738
152.078247	-57.816456
152.751160	-58.362545
153.424072	-57.875854
154.096985	-58.370377
154.769897	-57.962013
155.442810	-57.185772
156.115723	-58.471363
156.788635	-58.968376
157.461548	-58.913013
