Frequency (Hz)	Level (dB)
0.672913	-73.100349
1.345825	-71.631683
2.018738	-72.774330
2.691650	-71.966301
3.364563	-71.745644
4.037476	-71.739075
4.710388	-71.360229
5.383301	-73.014786
6.056213	-71.765076
6.729126	-70.501251
7.402039	-71.386078
8.074951	-69.862679
8.747864	-70.236984
9.420776	-69.112083
10.093689	-68.077728
10.766602	-67.267578
11.439514	-67.142769
12.112427	-66.921471
12.785339	-70.158295
13.458252	-69.637573
14.131165	-67.782661
14.804077	-66.600922
15.476990	-65.262512
16.149902	-65.334541
16.822815	-64.888512
17.495728	-63.165295
18.168640	-62.400871
18.841553	-59.929855
19.514465	-59.582031
20.187378	-56.406704
20.860291	-54.913239
21.533203	-55.479496
22.206116	-55.231644
22.879028	-57.100567
23.551941	-55.867245
24.224854	-57.906170
24.897766	-60.302559
25.570679	-59.993443
26.243591	-59.292229
26.916504	-62.899513
27.589417	-66.219238
28.262329	-64.246696
28.935242	-65.309555
29.608154	-65.339706
30.281067	-64.413658
30.953979	-65.637413
31.626892	-64.119675
32.299805	-65.162064
32.972717	-67.018555
33.645630	-64.039886
34.318542	-65.018135
34.991455	-64.692421
35.664368	-64.539062
36.337280	-65.492828
37.010193	-63.702061
37.683105	-63.866985
38.356018	-63.459972
39.028931	-62.460632
39.701843	-62.116879
40.374756	-60.236443
41.047668	-57.977818
41.720581	-57.527081
42.393494	-57.303883
43.066406	-57.803589
43.739319	-57.014439
44.412231	-57.619640
45.085144	-58.275227
45.758057	-57.904152
46.430969	-59.368874
47.103882	-58.155327
47.776794	-58.711235
48.449707	-60.673382
49.122620	-60.202847
49.795532	-59.873032
50.468445	-61.556255
51.141357	-62.639248
51.814270	-61.838215
52.487183	-62.808792
53.160095	-63.671352
53.833008	-63.975857
54.505920	-64.440941
55.178833	-66.285225
55.851746	-64.575272
56.524658	-64.226944
57.197571	-64.853020
57.870483	-64.530792
58.543396	-62.787945
59.216309	-62.896988
59.889221	-63.730183
60.562134	-62.853207
61.235046	-63.508438
61.907959	-62.808685
62.580872	-61.227837
63.253784	-61.480312
63.926697	-61.355530
64.599609	-63.317547
65.272522	-62.359516
65.945435	-60.066727
66.618347	-62.090755
67.291260	-59.861702
67.964172	-59.538891
68.637085	-59.942020
69.309998	-60.556084
69.982910	-60.257160
70.655823	-59.753120
71.328735	-61.272606
72.001648	-62.465576
72.674561	-62.482883
73.347473	-62.043762
74.020386	-59.861637
74.693298	-62.057465
75.366211	-63.391804
76.039124	-63.522820
76.712036	-64.747246
77.384949	-64.827904
78.057861	-64.307327
78.730774	-63.628685
79.403687	-63.347713
80.076599	-65.436020
80.749512	-65.018898
81.422424	-63.862408
82.095337	-62.227161
82.768250	-63.136295
83.441162	-63.606369
84.114075	-60.513134
84.786987	-61.750610
85.459900	-61.327282
86.132812	-61.377937
86.805725	-59.811275
87.478638	-60.820038
88.151550	-60.149895
88.824463	-59.932739
89.497375	-60.161537
90.170288	-61.912201
90.843201	-62.290600
91.516113	-61.032894
92.189026	-61.725037
92.861938	-61.814449
93.534851	-63.246639
94.207764	-62.907619
94.880676	-65.319351
95.553589	-61.923271
96.226501	-62.126740
96.899414	-63.111210
97.572327	-62.666794
98.245239	-62.866146
98.918152	-62.550922
99.591064	-63.682976
100.263977	-62.130108
100.936890	-62.782406
101.609802	-63.530457
102.282715	-63.965267
102.955627	-64.494263
103.628540	-63.998810
104.301453	-63.818233
104.974365	-63.631638
105.647278	-62.775681
106.320190	-62.209076
106.993103	-64.525528
107.666016	-63.022362
108.338928	-62.802963
109.011841	-64.027290
109.684753	-62.143986
110.357666	-64.608192
111.030579	-62.426781
111.703491	-63.050953
112.376404	-62.898182
113.049316	-63.601570
113.722229	-63.191856
114.395142	-62.332764
115.068054	-61.652790
115.740967	-61.882946
116.413879	-63.508442
117.086792	-62.403568
117.759705	-63.805569
118.432617	-63.050861
119.105530	-63.467613
119.778442	-62.721321
120.451355	-64.258568
121.124268	-64.128212
121.797180	-64.235077
122.470093	-65.268204
123.143005	-63.914642
123.815918	-62.266884
124.488831	-62.098854
125.161743	-64.060867
125.834656	-62.954124
126.507568	-62.694607
127.180481	-63.628311
127.853394	-63.237785
128.526306	-62.932144
129.199219	-62.887352
129.872131	-62.393608
130.545044	-63.218948
131.217957	-63.441860
131.890869	-64.784286
132.563782	-64.338402
133.236694	-62.867550
133.909607	-63.838608
134.582520	-60.886543
135.255432	-63.083759
135.928345	-62.136784
136.601257	-63.603191
137.274170	-62.630730
137.947083	-62.579506
138.619995	-62.772808
139.292908	-63.425682
139.965820	-63.544460
140.638733	-63.512016
141.311646	-64.036263
141.984558	-62.587452
142.657471	-62.216911
143.330383	-62.406338
144.003296	-62.257366
144.676208	-63.478767
145.349121	-63.952522
146.022034	-63.451569
146.694946	-63.247311
147.367859	-63.669754
148.040771	-63.173000
148.713684	-62.661861
149.386597	-63.615875
150.059509	-65.088547
150.732422	-63.338394
151.405334	-62.716995
152.078247	-63.187744
152.751160	-63.630680
153.424072	-63.449516
154.096985	-63.589584
154.769897	-64.197807
155.442810	-64.028732
156.115723	-64.206070
156.788635	-62.092449
157.461548	-61.338177
158.134460	-62.934055
158.807373	-63.646374
159.480286	-63.175991
160.153198	-62.723328
160.826111	-63.198441
161.499023	-64.805191
162.171936	-65.010796
162.844849	-62.241890
163.517761	-62.491047
164.190674	-62.450905
164.863586	-64.127647
165.536499	-61.967388
166.209412	-61.822067
166.882324	-62.433857
167.555237	-63.311298
168.228149	-63.973686
168.901062	-63.066719
169.573975	-63.035084
170.246887	-63.194893
170.919800	-65.178787
171.592712	-64.810104
172.265625	-62.459480
172.938538	-63.569317
173.611450	-62.349464
174.284363	-62.020805
174.957275	-62.617153
175.630188	-62.616047
176.303101	-62.709194
176.976013	-63.392498
177.648926	-62.221542
178.321838	-61.385010
178.994751	-62.468090
179.667664	-63.637218
180.340576	-63.606201
181.013489	-64.967567
181.686401	-62.552544
182.359314	-64.078094
183.032227	-63.521900
183.705139	-62.184624
184.378052	-64.209229
185.050964	-63.209671
185.723877	-65.140327
186.396790	-64.360832
187.069702	-63.299629
187.742615	-62.804279
188.415527	-63.567474
189.088440	-62.810364
189.761353	-65.421722
190.434265	-64.302818
191.107178	-62.988022
191.780090	-61.269203
192.453003	-61.535160
193.125916	-62.761456
193.798828	-64.031059
194.471741	-62.827610
195.144653	-63.726734
195.817566	-63.939751
196.490479	-63.320560
197.163391	-63.875500
197.836304	-62.712883
198.509216	-62.659332
199.182129	-62.765335
199.855042	-63.206707
200.527954	-61.764587
201.200867	-62.986187
201.873779	-63.091763
202.546692	-64.226616
203.219604	-62.052616
203.892517	-62.621643
204.565430	-62.354012
205.238342	-63.285507
205.911255	-61.978836
206.584167	-62.093937
207.257080	-62.165051
207.929993	-63.975014
208.602905	-63.331718
209.275818	-63.008125
209.948730	-62.535870
210.621643	-62.305977
211.294556	-63.408188
211.967468	-63.624550
212.640381	-61.792625
213.313293	-61.718990
213.986206	-62.125652
214.659119	-62.751537
215.332031	-63.868839
216.004944	-63.255508
216.677856	-63.942268
217.350769	-64.535088
218.023682	-64.010628
218.696594	-63.457176
219.369507	-63.929222
220.042419	-61.786629
220.715332	-63.233822
221.388245	-63.472328
222.061157	-62.779839
222.734070	-64.226776
223.406982	-62.954967
224.079895	-63.383152
224.752808	-62.494385
225.425720	-63.030624
226.098633	-63.421097
226.771545	-63.436829
227.444458	-63.543140
228.117371	-63.336044
228.790283	-63.980942
229.463196	-62.895363
230.136108	-61.826717
230.809021	-63.339455
231.481934	-62.120838
232.154846	-63.277348
232.827759	-62.200188
233.500671	-61.356133
234.173584	-62.327003
234.846497	-62.483753
235.519409	-63.086227
236.192322	-63.319828
236.865234	-62.243111
237.538147	-63.959793
238.211060	-63.684158
238.883972	-63.206131
