Frequency (Hz)	Level (dB)
0.672913	-68.806793
1.345825	-70.571861
2.018738	-72.767593
2.691650	-71.514923
3.364563	-72.073967
4.037476	-72.346016
4.710388	-72.332779
5.383301	-71.333176
6.056213	-70.821533
6.729126	-70.546715
7.402039	-69.881790
8.074951	-68.187874
8.747864	-67.231323
9.420776	-65.729744
10.093689	-65.053757
10.766602	-65.921097
11.439514	-64.492546
12.112427	-65.035210
12.785339	-64.905327
13.458252	-64.901146
14.131165	-64.801773
14.804077	-65.082199
15.476990	-67.356964
16.149902	-65.344170
16.822815	-64.862442
17.495728	-65.737122
18.168640	-62.767826
18.841553	-63.104149
19.514465	-60.196320
20.187378	-57.386978
20.860291	-58.176983
21.533203	-54.694302
22.206116	-52.950878
22.879028	-55.850292
23.551941	-57.065781
24.224854	-57.363720
24.897766	-58.878986
25.570679	-60.400791
26.243591	-59.186535
26.916504	-60.878727
27.589417	-61.051853
28.262329	-61.784370
28.935242	-63.165989
29.608154	-63.835056
30.281067	-62.349644
30.953979	-62.131603
31.626892	-60.813435
32.299805	-62.531281
32.972717	-62.760021
33.645630	-63.030033
34.318542	-63.321606
34.991455	-62.023628
35.664368	-62.632778
36.337280	-62.696262
37.010193	-64.425972
37.683105	-63.452110
38.356018	-61.549492
39.028931	-62.123821
39.701843	-60.646717
40.374756	-60.914589
41.047668	-62.843658
41.720581	-57.827236
42.393494	-57.059303
43.066406	-57.581345
43.739319	-56.488522
44.412231	-55.896393
45.085144	-57.650963
45.758057	-55.797001
46.430969	-56.084129
47.103882	-56.805962
47.776794	-56.995918
48.449707	-57.473850
49.122620	-58.831444
49.795532	-60.712929
50.468445	-62.042797
51.141357	-62.151443
51.814270	-62.586090
52.487183	-61.555508
53.160095	-62.250145
53.833008	-62.669174
54.505920	-61.858303
55.178833	-62.733055
55.851746	-62.636822
56.524658	-63.548893
57.197571	-62.733421
57.870483	-62.542606
58.543396	-62.969078
59.216309	-61.201637
59.889221	-63.598331
60.562134	-63.373146
61.235046	-60.744015
61.907959	-62.321941
62.580872	-60.256271
63.253784	-59.185841
63.926697	-59.225033
64.599609	-58.741642
65.272522	-60.011589
65.945435	-59.020126
66.618347	-58.007214
67.291260	-57.722107
67.964172	-57.894001
68.637085	-57.456078
69.309998	-58.953037
69.982910	-58.325993
70.655823	-58.746956
71.328735	-59.651718
72.001648	-58.968716
72.674561	-59.989834
73.347473	-59.308502
74.020386	-59.427784
74.693298	-59.300537
75.366211	-61.113682
76.039124	-63.639854
76.712036	-62.568836
77.384949	-61.474190
78.057861	-61.750931
78.730774	-63.313240
79.403687	-63.544891
80.076599	-62.528065
80.749512	-61.953564
81.422424	-61.749851
82.095337	-61.771435
82.768250	-63.993580
83.441162	-62.680344
84.114075	-61.397324
84.786987	-61.352043
85.459900	-61.428623
86.132812	-58.994324
86.805725	-59.051975
87.478638	-60.887436
88.151550	-60.880875
88.824463	-61.303707
89.497375	-59.352787
90.170288	-59.748325
90.843201	-60.386143
91.516113	-61.759857
92.189026	-59.640259
92.861938	-61.664188
93.534851	-59.978287
94.207764	-60.158245
94.880676	-60.707630
95.553589	-61.482830
96.226501	-61.095692
96.899414	-62.201168
97.572327	-63.942955
98.245239	-63.778751
98.918152	-61.712299
99.591064	-61.990009
100.263977	-63.140030
100.936890	-62.538853
101.609802	-60.330399
102.282715	-61.523460
102.955627	-62.509403
103.628540	-62.036816
104.301453	-61.740227
104.974365	-61.568455
105.647278	-60.782864
106.320190	-61.983448
106.993103	-60.433105
107.666016	-63.195423
108.338928	-62.544174
109.011841	-61.608707
109.684753	-61.483849
110.357666	-60.523884
111.030579	-61.427509
111.703491	-60.253349
112.376404	-60.970352
113.049316	-61.653984
113.722229	-59.530331
114.395142	-59.335190
115.068054	-61.075546
115.740967	-62.264561
116.413879	-61.357441
117.086792	-61.750633
117.759705	-61.373764
118.432617	-60.618851
119.105530	-60.496323
119.778442	-60.273872
120.451355	-61.304722
121.124268	-61.801174
121.797180	-61.677429
122.470093	-61.769901
123.143005	-61.740055
123.815918	-62.622334
124.488831	-62.226131
125.161743	-61.948643
125.834656	-61.741978
126.507568	-61.350246
127.180481	-61.832745
127.853394	-63.103920
128.526306	-61.345161
129.199219	-62.256329
129.872131	-61.506016
130.545044	-61.675350
131.217957	-62.007359
131.890869	-61.978470
132.563782	-62.249321
133.236694	-61.512417
133.909607	-62.840397
134.582520	-61.986404
135.255432	-59.444530
135.928345	-60.492527
136.601257	-60.031395
137.274170	-60.790997
137.947083	-61.412636
138.619995	-60.614948
139.292908	-61.652382
139.965820	-60.474457
140.638733	-61.695366
141.311646	-61.726063
141.984558	-61.001995
142.657471	-61.462578
143.330383	-61.398106
144.003296	-61.382858
144.676208	-60.644543
145.349121	-62.390625
146.022034	-62.730404
146.694946	-64.019447
147.367859	-62.534805
148.040771	-63.290920
148.713684	-61.485439
149.386597	-61.408512
150.059509	-61.197010
150.732422	-60.599194
151.405334	-63.051006
152.078247	-63.090164
152.751160	-61.649940
153.424072	-62.098587
154.096985	-63.207920
154.769897	-62.100990
155.442810	-61.198273
156.115723	-61.080330
156.788635	-62.099529
157.461548	-62.073971
158.134460	-63.225502
158.807373	-63.762177
159.480286	-64.363182
160.153198	-63.448887
160.826111	-65.111038
161.499023	-63.623333
162.171936	-63.218239
162.844849	-61.867535
163.517761	-63.640079
164.190674	-63.058899
164.863586	-63.495571
165.536499	-62.021702
166.209412	-62.321892
166.882324	-63.428169
167.555237	-62.664597
168.228149	-64.013573
168.901062	-62.949100
169.573975	-63.647335
170.246887	-63.978737
170.919800	-63.337872
171.592712	-60.722099
172.265625	-63.032478
172.938538	-62.972878
173.611450	-62.620148
174.284363	-62.938999
174.957275	-62.121502
175.630188	-64.294029
176.303101	-63.439102
176.976013	-64.994331
177.648926	-64.865883
178.321838	-62.383114
178.994751	-63.454361
179.667664	-64.748123
180.340576	-62.776272
181.013489	-61.202858
181.686401	-63.561005
182.359314	-63.036293
183.032227	-63.448666
183.705139	-63.708263
184.378052	-63.564999
185.050964	-63.258266
185.723877	-63.475353
186.396790	-62.279018
187.069702	-63.820675
187.742615	-64.675888
188.415527	-62.729126
189.088440	-61.438034
189.761353	-62.346256
190.434265	-61.480026
191.107178	-62.643188
191.780090	-63.858620
192.453003	-62.203564
193.125916	-61.456730
193.798828	-61.608368
194.471741	-62.595467
195.144653	-62.590275
195.817566	-62.928455
196.490479	-61.985317
197.163391	-63.877190
197.836304	-63.419491
198.509216	-64.849129
199.182129	-64.240524
199.855042	-64.613487
200.527954	-62.854916
201.200867	-63.667343
201.873779	-64.511139
202.546692	-64.317101
203.219604	-63.367382
203.892517	-65.602707
204.565430	-63.749203
205.238342	-61.709148
205.911255	-61.422123
206.584167	-61.594654
207.257080	-63.117695
207.929993	-62.018848
208.602905	-61.888424
209.275818	-62.094791
209.948730	-62.942139
210.621643	-62.854378
211.294556	-61.011421
211.967468	-60.933903
212.640381	-61.766670
213.313293	-61.695602
213.986206	-62.465553
214.659119	-63.178711
215.332031	-62.716724
216.004944	-63.965015
216.677856	-62.297272
217.350769	-63.776825
218.023682	-64.206108
218.696594	-66.024773
219.369507	-65.943375
220.042419	-65.184135
220.715332	-64.617905
221.388245	-64.200455
222.061157	-64.435623
222.734070	-62.234394
223.406982	-61.364906
224.079895	-63.456299
224.752808	-64.313866
225.425720	-65.463982
226.098633	-63.933464
226.771545	-62.620659
227.444458	-63.297966
228.117371	-62.904221
228.790283	-63.843052
229.463196	-63.481670
230.136108	-63.605129
230.809021	-63.383488
231.481934	-63.034355
232.154846	-63.714230
232.827759	-63.116154
233.500671	-62.068916
234.173584	-63.127872
234.846497	-63.109127
235.519409	-61.731010
236.192322	-63.447235
236.865234	-62.365070
237.538147	-62.539536
238.211060	-63.240437
238.883972	-62.016613
239.556885	-63.867905
240.229797	-64.310318
240.902710	-62.504028
241.575623	-62.804287
242.248535	-64.772041
242.921448	-62.379475
243.594360	-64.371208
244.267273	-63.099232
244.940186	-63.534916
245.613098	-63.983097
246.286011	-62.552254
246.958923	-63.874729
247.631836	-63.549549
248.304749	-64.351433
248.977661	-64.882172
249.650574	-61.997768
250.323486	-64.442917
250.996399	-63.501804
251.669312	-62.486641
252.342224	-62.293797
253.015137	-61.367825
253.688049	-64.359123
254.360962	-62.680000
255.033875	-64.576355
255.706787	-62.287952
256.379700	-63.084641
257.052612	-61.175720
257.725525	-62.484421
258.398438	-62.699413
259.071350	-62.225456
259.744263	-62.332638
260.417175	-61.769936
261.090088	-62.710590
261.763000	-63.667675
262.435913	-62.894112
263.108826	-62.264294
263.781738	-62.577427
264.454651	-64.272827
265.127563	-63.713192
265.800476	-62.534687
266.473389	-63.621693
267.146301	-64.001709
267.819214	-64.039185
268.492126	-64.080727
269.165039	-63.362785
269.837952	-62.821434
270.510864	-63.185070
271.183777	-63.404598
271.856689	-60.630169
272.529602	-62.246998
273.202515	-62.561474
273.875427	-63.187695
274.548340	-63.115475
275.221252	-62.487671
275.894165	-62.825211
276.567078	-63.074509
277.239990	-63.896748
277.912903	-63.515728
278.585815	-62.698471
279.258728	-62.683426
279.931641	-63.037460
280.604553	-62.991886
281.277466	-62.719185
281.950378	-63.633888
282.623291	-63.259716
283.296204	-62.982235
283.969116	-62.182575
284.642029	-62.941696
285.314941	-65.304321
285.987854	-63.217213
286.660767	-62.766068
287.333679	-63.279808
288.006592	-63.049255
288.679504	-63.952957
289.352417	-63.139999
290.025330	-62.237141
290.698242	-63.262810
291.371155	-63.715607
292.044067	-64.658508
292.716980	-63.384594
293.389893	-63.172485
294.062805	-63.620243
294.735718	-62.619251
295.408630	-64.895081
296.081543	-62.768536
296.754456	-63.199417
297.427368	-65.041908
298.100281	-64.229736
298.773193	-63.326660
299.446106	-64.130455
300.119019	-65.818947
300.791931	-62.928837
301.464844	-63.832420
302.137756	-63.289654
302.810669	-62.468819
303.483582	-61.773987
304.156494	-62.620449
304.829407	-63.298405
305.502319	-64.797112
306.175232	-64.389511
306.848145	-63.305397
307.521057	-61.957157
308.193970	-63.759869
308.866882	-62.784885
309.539795	-63.001221
310.212708	-62.664364
310.885620	-62.746723
311.558533	-63.200821
312.231445	-64.690689
312.904358	-64.689064
313.577271	-65.128265
314.250183	-65.657310
314.923096	-65.791527
315.596008	-64.861847
316.268921	-63.543873
316.941833	-62.622696
317.614746	-63.401691
318.287659	-64.057281
318.960571	-63.706829
319.633484	-62.960300
320.306396	-63.144081
320.979309	-61.886234
321.652222	-62.126652
322.325134	-62.740383
322.998047	-63.300602
323.670959	-64.208122
324.343872	-64.040245
325.016785	-64.688477
325.689697	-62.151775
326.362610	-62.161816
327.035522	-61.420502
327.708435	-60.877209
328.381348	-61.909397
329.054260	-63.092304
329.727173	-62.702671
330.400085	-60.729313
331.072998	-63.422142
331.745911	-63.344223
