Frequency (Hz)	Level (dB)
0.976562	-81.633049
1.953125	-81.463608
2.929688	-81.177841
3.906250	-80.985397
4.882812	-79.409134
5.859375	-77.458939
6.835938	-75.987541
7.812500	-73.564728
8.789062	-71.637772
9.765625	-69.531281
10.742188	-67.679695
11.718750	-66.480980
12.695312	-66.579689
13.671875	-64.136139
14.648438	-63.954967
15.625000	-62.131279
16.601562	-61.070679
17.578125	-62.801826
18.554688	-61.949207
19.531250	-60.445412
20.507812	-60.379684
21.484375	-60.896610
22.460938	-60.438622
23.437500	-59.281239
24.414062	-59.567799
25.390625	-59.279655
26.367188	-58.813774
27.343750	-58.569500
28.320312	-58.496265
29.296875	-58.987446
30.273438	-59.550732
31.250000	-58.287968
32.226562	-59.157749
33.203125	-58.238621
34.179688	-58.282169
35.156250	-58.283958
36.132812	-57.082390
37.109375	-57.623508
38.085938	-58.249763
39.062500	-58.477150
40.039062	-59.091213
41.015625	-58.378326
41.992188	-59.012310
42.968750	-59.395721
43.945312	-58.740902
44.921875	-58.916439
45.898438	-59.373783
46.875000	-59.911678
47.851562	-60.623417
48.828125	-58.265034
49.804688	-58.021427
50.781250	-60.027618
51.757812	-59.832756
52.734375	-59.797935
53.710938	-60.283356
54.687500	-60.799885
55.664062	-59.280552
56.640625	-59.936008
57.617188	-60.920570
58.593750	-59.958622
59.570312	-59.696785
60.546875	-61.001118
61.523438	-60.156872
62.500000	-60.867302
63.476562	-61.126125
64.453125	-61.129436
65.429688	-63.007492
66.406250	-62.713699
67.382812	-62.528172
68.359375	-62.122280
69.335938	-64.880043
70.312500	-64.635162
71.289062	-63.375786
72.265625	-63.018818
73.242188	-62.154911
74.218750	-64.097435
75.195312	-63.682323
76.171875	-64.194252
77.148438	-65.746300
78.125000	-65.323860
79.101562	-64.649101
80.078125	-65.338364
81.054688	-64.661514
82.031250	-64.599403
83.007812	-66.437828
83.984375	-65.909142
84.960938	-66.822784
85.937500	-66.444016
86.914062	-67.329361
87.890625	-67.085388
88.867188	-67.605934
89.843750	-68.230453
90.820312	-67.877327
91.796875	-67.542641
92.773438	-68.039993
93.750000	-69.503029
94.726562	-67.546158
95.703125	-68.060287
96.679688	-67.486992
97.656250	-68.937820
98.632812	-69.081856
99.609375	-69.990601
100.585938	-69.991531
101.562500	-69.993240
102.539062	-72.625847
103.515625	-70.902985
104.492188	-70.269943
105.468750	-71.258270
106.445312	-71.407745
107.421875	-71.867348
108.398438	-72.053474
109.375000	-72.608498
110.351562	-73.412292
111.328125	-72.961205
112.304688	-72.559120
113.281250	-73.746239
114.257812	-74.692329
115.234375	-74.026962
116.210938	-75.636200
117.187500	-74.583496
118.164062	-74.777786
119.140625	-74.160217
120.117188	-73.666306
121.093750	-73.211861
122.070312	-75.448326
123.046875	-76.101707
124.023438	-77.433151
125.000000	-75.771309
125.976562	-77.212044
126.953125	-77.470169
127.929688	-78.963608
128.906250	-76.336197
129.882812	-78.984474
130.859375	-80.447784
131.835938	-80.630577
132.812500	-79.869850
133.789062	-79.611481
134.765625	-78.462662
135.742188	-78.973709
136.718750	-79.726921
137.695312	-79.991753
138.671875	-80.179398
139.648438	-80.286972
140.625000	-80.603745
141.601562	-79.713669
142.578125	-80.305992
143.554688	-81.723495
144.531250	-79.990250
145.507812	-79.784500
146.484375	-80.727142
147.460938	-80.359177
148.437500	-79.650719
149.414062	-80.060127
150.390625	-79.441048
151.367188	-79.853058
152.343750	-79.898621
153.320312	-80.232933
