Frequency (Hz)	Level (dB)
0.672913	-46.997063
1.345825	-46.917255
2.018738	-46.224289
2.691650	-47.597652
3.364563	-47.439342
4.037476	-46.002609
4.710388	-46.479027
5.383301	-46.565506
6.056213	-47.419838
6.729126	-46.279568
7.402039	-46.096779
8.074951	-46.986500
8.747864	-46.603268
9.420776	-47.082653
10.093689	-46.987698
10.766602	-47.340260
11.439514	-46.625587
12.112427	-47.368362
12.785339	-47.462086
13.458252	-46.908504
14.131165	-46.961102
14.804077	-46.745399
15.476990	-47.620571
16.149902	-47.107784
16.822815	-47.123775
17.495728	-46.738670
18.168640	-46.949390
18.841553	-47.366833
19.514465	-47.161716
20.187378	-46.981041
20.860291	-47.035099
21.533203	-47.417305
22.206116	-46.644699
22.879028	-47.164890
23.551941	-46.658585
24.224854	-47.081436
24.897766	-47.074158
25.570679	-46.486778
26.243591	-46.721729
26.916504	-47.508003
27.589417	-47.228455
28.262329	-47.409466
28.935242	-47.434631
29.608154	-46.509937
30.281067	-46.498470
30.953979	-47.136421
31.626892	-47.339962
32.299805	-46.225727
32.972717	-47.515812
33.645630	-46.914700
34.318542	-46.490444
34.991455	-47.175568
35.664368	-47.572403
36.337280	-47.038647
37.010193	-47.299725
37.683105	-46.530865
38.356018	-46.407146
39.028931	-46.567753
39.701843	-46.850048
40.374756	-46.996998
41.047668	-48.056038
41.720581	-47.484558
42.393494	-47.264996
43.066406	-47.403503
43.739319	-47.026752
44.412231	-46.794708
45.085144	-47.977573
45.758057	-46.947693
46.430969	-46.402824
47.103882	-46.813808
47.776794	-47.840977
48.449707	-47.163788
49.122620	-47.293034
49.795532	-47.170650
50.468445	-46.745872
51.141357	-46.317009
51.814270	-47.500843
52.487183	-47.193981
53.160095	-47.171589
53.833008	-47.032097
54.505920	-46.584465
55.178833	-46.867214
55.851746	-47.275818
56.524658	-47.585773
57.197571	-46.702599
57.870483	-47.507442
58.543396	-47.560455
59.216309	-46.967628
59.889221	-46.479710
60.562134	-47.370506
61.235046	-46.243145
61.907959	-47.540264
62.580872	-46.496387
63.253784	-47.050972
63.926697	-47.707588
64.599609	-46.475983
65.272522	-46.917294
65.945435	-47.678604
66.618347	-47.075451
67.291260	-46.855865
67.964172	-47.297657
68.637085	-46.578045
69.309998	-47.045856
69.982910	-47.416885
70.655823	-46.835552
71.328735	-47.376041
72.001648	-47.200779
72.674561	-46.452751
73.347473	-46.953442
74.020386	-47.159466
74.693298	-47.160488
75.366211	-47.145393
76.039124	-47.096397
76.712036	-47.487274
77.384949	-46.866592
78.057861	-46.899742
78.730774	-47.257221
79.403687	-47.276394
80.076599	-46.976234
80.749512	-46.658642
81.422424	-46.894329
82.095337	-46.312553
82.768250	-47.035843
83.441162	-47.416756
84.114075	-47.116764
84.786987	-47.345238
85.459900	-46.899769
86.132812	-47.011749
86.805725	-46.132793
87.478638	-46.578262
88.151550	-46.705620
88.824463	-46.584290
89.497375	-46.444214
90.170288	-45.808777
90.843201	-45.957897
91.516113	-47.217926
92.189026	-46.809822
92.861938	-46.213737
93.534851	-46.975487
94.207764	-46.707516
94.880676	-46.745190
95.553589	-46.430649
96.226501	-46.701939
96.899414	-46.663017
97.572327	-46.821426
98.245239	-46.227257
98.918152	-47.175816
99.591064	-46.551582
100.263977	-46.701534
100.936890	-47.014877
101.609802	-46.706085
102.282715	-46.896999
102.955627	-47.498131
103.628540	-46.858295
104.301453	-47.260967
104.974365	-46.721390
105.647278	-45.763557
106.320190	-47.238991
106.993103	-47.016308
107.666016	-46.922630
108.338928	-47.175385
109.011841	-46.862244
109.684753	-47.254490
110.357666	-47.213253
111.030579	-47.405010
111.703491	-46.810837
112.376404	-47.404823
113.049316	-46.421597
113.722229	-46.471130
114.395142	-46.652893
115.068054	-47.491116
115.740967	-47.418308
116.413879	-46.609501
117.086792	-46.954124
117.759705	-47.255207
118.432617	-47.067593
119.105530	-46.294327
119.778442	-46.584637
120.451355	-46.510082
