Frequency (Hz)	Level (dB)
0.672913	-47.742149
1.345825	-47.699074
2.018738	-45.708958
2.691650	-46.497345
3.364563	-46.164448
4.037476	-46.929230
4.710388	-47.466427
5.383301	-46.907784
6.056213	-47.015282
6.729126	-46.816677
7.402039	-46.408028
8.074951	-48.042503
8.747864	-45.683918
9.420776	-48.499657
10.093689	-46.524471
10.766602	-46.783928
11.439514	-45.466591
12.112427	-46.251888
12.785339	-46.688992
13.458252	-48.019474
14.131165	-47.259304
14.804077	-46.516060
15.476990	-45.743504
16.149902	-46.089764
16.822815	-46.927750
17.495728	-45.952110
18.168640	-48.363174
18.841553	-47.117188
19.514465	-48.070564
20.187378	-47.408077
20.860291	-46.865952
21.533203	-46.924114
22.206116	-48.357368
22.879028	-47.546295
23.551941	-47.436062
24.224854	-46.948299
24.897766	-47.802727
25.570679	-44.788181
26.243591	-47.123627
26.916504	-47.721210
27.589417	-46.994755
28.262329	-46.786335
28.935242	-47.569679
29.608154	-47.678055
30.281067	-47.632172
30.953979	-46.946079
31.626892	-47.137753
32.299805	-45.946045
32.972717	-47.317535
33.645630	-47.339870
34.318542	-48.637020
34.991455	-46.888668
35.664368	-48.009197
36.337280	-47.532593
37.010193	-47.659805
37.683105	-49.288074
38.356018	-47.443199
39.028931	-48.846447
39.701843	-48.447052
40.374756	-47.905567
41.047668	-46.756161
41.720581	-46.857903
42.393494	-47.491463
43.066406	-48.127880
43.739319	-47.512939
44.412231	-46.545952
45.085144	-46.365150
45.758057	-47.596336
46.430969	-48.379364
47.103882	-46.325752
47.776794	-47.451176
48.449707	-46.909279
49.122620	-49.002052
49.795532	-47.707405
50.468445	-48.269196
51.141357	-48.353603
51.814270	-46.958435
52.487183	-45.523060
53.160095	-47.927586
53.833008	-46.626652
54.505920	-47.176136
55.178833	-45.746029
55.851746	-47.113834
56.524658	-47.611736
57.197571	-46.999367
57.870483	-46.141697
58.543396	-46.050438
59.216309	-46.409695
59.889221	-47.180225
60.562134	-46.305946
61.235046	-47.345772
61.907959	-46.284752
62.580872	-46.299240
63.253784	-47.087475
63.926697	-47.343674
64.599609	-47.304417
65.272522	-46.080540
65.945435	-46.345737
66.618347	-47.268127
67.291260	-48.093914
67.964172	-46.231743
68.637085	-47.960220
69.309998	-47.098911
69.982910	-46.899143
70.655823	-46.566406
71.328735	-48.011005
72.001648	-48.391388
72.674561	-46.389431
73.347473	-47.601379
74.020386	-49.586689
74.693298	-47.697598
75.366211	-47.704113
76.039124	-46.590096
76.712036	-46.000217
77.384949	-46.863403
78.057861	-48.282341
78.730774	-48.140030
79.403687	-48.243046
80.076599	-47.792747
80.749512	-46.315140
81.422424	-47.254318
82.095337	-46.600559
82.768250	-46.314045
83.441162	-46.523762
84.114075	-47.678028
84.786987	-46.145580
85.459900	-46.415623
86.132812	-45.413521
86.805725	-45.953293
87.478638	-47.984783
88.151550	-48.709450
88.824463	-45.293255
89.497375	-45.692913
90.170288	-45.489799
90.843201	-46.510342
91.516113	-46.199818
92.189026	-46.897121
92.861938	-45.651237
93.534851	-46.145191
94.207764	-46.029408
94.880676	-47.629082
95.553589	-47.196774
96.226501	-46.682037
96.899414	-46.312561
97.572327	-45.523949
98.245239	-46.798706
98.918152	-47.385468
99.591064	-47.013336
100.263977	-47.007000
100.936890	-46.188061
101.609802	-47.573788
102.282715	-46.456394
102.955627	-47.057503
103.628540	-47.335724
104.301453	-46.042156
104.974365	-47.686581
105.647278	-47.891762
106.320190	-47.640877
106.993103	-47.918941
107.666016	-48.878048
108.338928	-46.871235
109.011841	-45.246361
109.684753	-46.996147
110.357666	-47.151871
111.030579	-47.219330
111.703491	-47.518227
112.376404	-45.805824
113.049316	-46.450062
113.722229	-45.530701
114.395142	-46.612732
115.068054	-46.357124
115.740967	-46.517479
116.413879	-45.693211
117.086792	-46.501244
117.759705	-45.696476
118.432617	-45.608532
119.105530	-48.106812
119.778442	-46.954086
120.451355	-47.051434
121.124268	-47.264988
121.797180	-47.589836
122.470093	-47.303692
123.143005	-45.632359
123.815918	-47.318298
124.488831	-46.705006
125.161743	-46.715504
125.834656	-45.466152
126.507568	-45.982933
127.180481	-47.720013
127.853394	-46.654938
128.526306	-46.832619
129.199219	-47.446518
129.872131	-47.289883
130.545044	-47.737415
131.217957	-46.946487
131.890869	-46.970619
132.563782	-48.631615
133.236694	-47.424110
133.909607	-46.710659
134.582520	-47.313370
135.255432	-47.015587
135.928345	-46.520210
136.601257	-46.527424
137.274170	-46.254917
137.947083	-46.205906
138.619995	-47.787434
139.292908	-46.440155
139.965820	-46.755810
140.638733	-47.516567
141.311646	-47.720753
141.984558	-47.991707
142.657471	-46.159904
143.330383	-47.163525
144.003296	-47.544456
144.676208	-47.114185
145.349121	-47.466053
146.022034	-47.472443
146.694946	-46.403591
147.367859	-47.984985
148.040771	-45.867687
148.713684	-46.418816
149.386597	-47.510777
150.059509	-47.378559
150.732422	-46.737465
151.405334	-48.183270
152.078247	-47.603767
152.751160	-45.518230
153.424072	-47.122334
154.096985	-46.465012
154.769897	-47.938919
155.442810	-49.225151
156.115723	-47.772289
156.788635	-48.635845
157.461548	-48.696701
158.134460	-46.847832
158.807373	-46.515327
159.480286	-47.857246
160.153198	-50.268448
160.826111	-48.409199
161.499023	-46.644287
162.171936	-47.067509
